condition_id,rental_id,assessed_condition,damage_charge,deposit_returned,inspector_notes
134,144,fair,0.0,1,Assessed after return on 2022-10-02
135,145,fair,0.0,1,Assessed after return on 2022-09-15
136,146,good,0.0,1,Assessed after return on 2022-09-23
137,147,damaged,93.22,0,Assessed after return on 2022-09-21
138,149,pristine,0.0,1,Assessed after return on 2022-09-26
139,151,good,0.0,1,Assessed after return on 2022-09-09
140,152,pristine,0.0,1,Assessed after return on 2022-09-13
141,153,good,0.0,1,Assessed after return on 2022-09-08
142,154,pristine,0.0,1,Assessed after return on 2022-09-24
143,155,pristine,0.0,1,Assessed after return on 2022-09-22
144,156,fair,0.0,1,Assessed after return on 2022-09-28
145,157,good,0.0,1,Assessed after return on 2022-10-04
146,158,pristine,0.0,1,Assessed after return on 2022-10-25
147,159,pristine,0.0,1,Assessed after return on 2022-11-07
148,160,pristine,0.0,1,Assessed after return on 2022-10-01
149,161,pristine,0.0,1,Assessed after return on 2022-10-01
150,162,fair,0.0,1,Assessed after return on 2022-10-17
151,163,pristine,0.0,1,Assessed after return on 2022-09-28
152,164,good,0.0,1,Assessed after return on 2022-10-24
153,165,good,0.0,1,Assessed after return on 2022-10-11
154,166,good,0.0,1,Assessed after return on 2022-11-03
155,167,good,0.0,1,Assessed after return on 2022-11-09
156,168,fair,0.0,1,Assessed after return on 2022-12-01
157,169,fair,0.0,1,Assessed after return on 2022-10-20
158,171,fair,0.0,1,Assessed after return on 2022-10-27
159,172,fair,0.0,1,Assessed after return on 2022-10-25
160,173,good,0.0,1,Assessed after return on 2022-10-15
161,174,good,0.0,1,Assessed after return on 2022-11-18
162,175,good,0.0,1,Assessed after return on 2022-11-28
163,176,pristine,0.0,1,Assessed after return on 2022-11-06
164,177,pristine,0.0,1,Assessed after return on 2022-10-30
165,178,good,0.0,1,Assessed after return on 2022-12-11
166,179,fair,0.0,1,Assessed after return on 2022-10-18
167,180,good,0.0,1,Assessed after return on 2022-10-28
168,181,good,0.0,1,Assessed after return on 2022-10-31
169,182,fair,0.0,1,Assessed after return on 2022-10-31
170,183,pristine,0.0,1,Assessed after return on 2022-11-05
171,184,good,0.0,1,Assessed after return on 2022-12-14
172,185,damaged,186.49,0,Assessed after return on 2022-12-02
173,186,good,0.0,1,Assessed after return on 2022-11-20
174,187,fair,0.0,1,Assessed after return on 2022-11-16
175,189,pristine,0.0,1,Assessed after return on 2022-11-14
176,190,good,0.0,1,Assessed after return on 2022-12-15
177,191,good,0.0,1,Assessed after return on 2022-12-29
178,193,fair,0.0,1,Assessed after return on 2022-12-11
179,195,pristine,0.0,1,Assessed after return on 2022-12-03
180,196,pristine,0.0,1,Assessed after return on 2022-12-11
181,197,good,0.0,1,Assessed after return on 2022-11-13
182,199,good,0.0,1,Assessed after return on 2022-12-09
183,200,pristine,0.0,1,Assessed after return on 2022-11-19
184,201,fair,0.0,1,Assessed after return on 2022-12-01
185,203,good,0.0,1,Assessed after return on 2022-12-05
186,204,pristine,0.0,1,Assessed after return on 2022-11-09
187,205,pristine,0.0,1,Assessed after return on 2022-12-24
188,206,fair,0.0,1,Assessed after return on 2023-01-14
189,207,pristine,0.0,1,Assessed after return on 2022-12-27
190,208,pristine,0.0,1,Assessed after return on 2023-01-09
191,209,pristine,0.0,1,Assessed after return on 2022-12-15
192,210,fair,0.0,1,Assessed after return on 2023-01-04
193,211,pristine,0.0,1,Assessed after return on 2023-01-06
194,212,good,0.0,1,Assessed after return on 2023-01-09
195,213,pristine,0.0,1,Assessed after return on 2022-12-29
196,214,pristine,0.0,1,Assessed after return on 2023-01-15
197,216,good,0.0,1,Assessed after return on 2022-12-22
198,217,fair,0.0,1,Assessed after return on 2022-12-28
199,218,pristine,0.0,1,Assessed after return on 2023-01-31
200,219,fair,0.0,1,Assessed after return on 2023-01-18
201,220,good,0.0,1,Assessed after return on 2022-12-29
202,221,pristine,0.0,1,Assessed after return on 2022-12-15
203,222,good,0.0,1,Assessed after return on 2023-01-03
204,223,good,0.0,1,Assessed after return on 2022-12-13
205,224,good,0.0,1,Assessed after return on 2022-12-19
206,226,good,0.0,1,Assessed after return on 2022-12-20
207,228,good,0.0,1,Assessed after return on 2022-12-31
208,229,good,0.0,1,Assessed after return on 2022-12-29
209,230,pristine,0.0,1,Assessed after return on 2022-12-24
210,231,fair,0.0,1,Assessed after return on 2023-01-05
211,232,good,0.0,1,Assessed after return on 2023-01-13
212,233,fair,0.0,1,Assessed after return on 2023-01-20
213,234,fair,0.0,1,Assessed after return on 2022-12-27
214,235,good,0.0,1,Assessed after return on 2022-12-07
215,236,pristine,0.0,1,Assessed after return on 2022-12-19
216,237,good,0.0,1,Assessed after return on 2023-01-24
217,238,good,0.0,1,Assessed after return on 2023-01-09
218,239,good,0.0,1,Assessed after return on 2022-12-07
219,240,pristine,0.0,1,Assessed after return on 2022-12-17
220,241,fair,0.0,1,Assessed after return on 2022-12-28
221,242,good,0.0,1,Assessed after return on 2023-01-02
222,244,pristine,0.0,1,Assessed after return on 2022-12-14
223,245,fair,0.0,1,Assessed after return on 2022-12-26
224,246,fair,0.0,1,Assessed after return on 2022-12-31
225,247,pristine,0.0,1,Assessed after return on 2023-01-13
226,249,good,0.0,1,Assessed after return on 2023-01-20
227,250,pristine,0.0,1,Assessed after return on 2023-01-25
228,251,good,0.0,1,Assessed after return on 2023-01-21
229,252,pristine,0.0,1,Assessed after return on 2023-01-06
230,253,good,0.0,1,Assessed after return on 2023-01-16
231,254,damaged,206.04,1,Assessed after return on 2023-01-29
232,256,good,0.0,1,Assessed after return on 2023-01-29
233,257,good,0.0,1,Assessed after return on 2023-02-01
234,258,good,0.0,1,Assessed after return on 2023-01-25
235,259,pristine,0.0,1,Assessed after return on 2023-01-28
236,260,good,0.0,1,Assessed after return on 2023-02-06
237,261,pristine,0.0,1,Assessed after return on 2023-02-04
238,262,damaged,57.64,0,Assessed after return on 2023-02-21
239,263,good,0.0,1,Assessed after return on 2023-02-28
240,264,good,0.0,1,Assessed after return on 2023-03-22
241,265,good,0.0,1,Assessed after return on 2023-04-05
242,266,pristine,0.0,1,Assessed after return on 2023-02-04
243,267,pristine,0.0,1,Assessed after return on 2023-02-06
244,268,damaged,161.66,1,Assessed after return on 2023-01-27
245,269,good,0.0,1,Assessed after return on 2023-02-22
246,270,good,0.0,1,Assessed after return on 2023-01-28
247,271,fair,0.0,1,Assessed after return on 2023-02-03
248,273,pristine,0.0,1,Assessed after return on 2023-01-23
249,274,fair,0.0,1,Assessed after return on 2023-02-02
250,275,good,0.0,1,Assessed after return on 2023-01-12
251,276,fair,0.0,1,Assessed after return on 2023-03-06
252,277,pristine,0.0,1,Assessed after return on 2023-01-20
253,279,good,0.0,1,Assessed after return on 2023-01-24
254,280,pristine,0.0,1,Assessed after return on 2023-02-07
255,281,damaged,311.46,0,Assessed after return on 2023-01-29
256,282,pristine,0.0,1,Assessed after return on 2023-01-27
257,283,pristine,0.0,1,Assessed after return on 2023-02-12
258,284,fair,0.0,1,Assessed after return on 2023-02-21
259,285,good,0.0,1,Assessed after return on 2023-02-05
260,286,damaged,432.59,1,Assessed after return on 2023-03-02
261,287,pristine,0.0,1,Assessed after return on 2023-01-22
262,288,good,0.0,1,Assessed after return on 2023-03-04
263,289,pristine,0.0,1,Assessed after return on 2023-03-07
264,290,fair,0.0,1,Assessed after return on 2023-03-06
265,291,good,0.0,1,Assessed after return on 2023-03-04
266,292,good,0.0,1,Assessed after return on 2023-02-14
267,293,pristine,0.0,1,Assessed after return on 2023-03-02
268,294,good,0.0,1,Assessed after return on 2023-02-25
269,295,damaged,87.56,0,Assessed after return on 2023-03-03
270,296,good,0.0,1,Assessed after return on 2023-02-28
271,297,damaged,665.45,0,Assessed after return on 2023-02-10
272,298,damaged,79.7,0,Assessed after return on 2023-03-07
273,299,good,0.0,1,Assessed after return on 2023-03-07
274,300,good,0.0,1,Assessed after return on 2023-02-25
275,301,fair,0.0,1,Assessed after return on 2023-02-25
276,302,good,0.0,1,Assessed after return on 2023-02-15
277,303,good,0.0,1,Assessed after return on 2023-03-06
278,304,pristine,0.0,1,Assessed after return on 2023-03-14
279,306,pristine,0.0,1,Assessed after return on 2023-02-13
280,307,fair,0.0,1,Assessed after return on 2023-02-27
281,308,fair,0.0,1,Assessed after return on 2023-02-11
282,310,fair,0.0,1,Assessed after return on 2023-03-01
283,311,good,0.0,1,Assessed after return on 2023-03-19
284,312,pristine,0.0,1,Assessed after return on 2023-03-17
285,314,good,0.0,1,Assessed after return on 2023-02-16
286,315,fair,0.0,1,Assessed after return on 2023-02-15
287,316,good,0.0,1,Assessed after return on 2023-03-10
288,317,pristine,0.0,1,Assessed after return on 2023-02-13
289,318,good,0.0,1,Assessed after return on 2023-03-03
290,319,pristine,0.0,1,Assessed after return on 2023-03-02
291,320,good,0.0,1,Assessed after return on 2023-03-06
292,321,pristine,0.0,1,Assessed after return on 2023-02-14
293,322,good,0.0,1,Assessed after return on 2023-02-22
294,323,good,0.0,1,Assessed after return on 2023-03-04
295,326,good,0.0,1,Assessed after return on 2023-02-16
296,327,pristine,0.0,1,Assessed after return on 2023-02-18
297,328,good,0.0,1,Assessed after return on 2023-02-19
298,330,fair,0.0,1,Assessed after return on 2023-02-20
299,332,pristine,0.0,1,Assessed after return on 2023-02-15
300,334,good,0.0,1,Assessed after return on 2023-03-06
301,335,pristine,0.0,1,Assessed after return on 2023-03-10
302,336,good,0.0,1,Assessed after return on 2023-04-02
303,337,good,0.0,1,Assessed after return on 2023-04-11
304,338,good,0.0,1,Assessed after return on 2023-03-22
305,339,fair,0.0,1,Assessed after return on 2023-03-08
306,340,fair,0.0,1,Assessed after return on 2023-04-04
307,341,pristine,0.0,1,Assessed after return on 2023-03-31
308,342,pristine,0.0,1,Assessed after return on 2023-03-23
309,343,good,0.0,1,Assessed after return on 2023-03-30
310,344,good,0.0,1,Assessed after return on 2023-03-10
311,345,good,0.0,1,Assessed after return on 2023-04-16
312,346,pristine,0.0,1,Assessed after return on 2023-05-11
313,348,pristine,0.0,1,Assessed after return on 2023-04-06
314,349,fair,0.0,1,Assessed after return on 2023-04-20
315,350,good,0.0,1,Assessed after return on 2023-03-20
316,351,pristine,0.0,1,Assessed after return on 2023-03-27
317,352,good,0.0,1,Assessed after return on 2023-04-03
318,353,good,0.0,1,Assessed after return on 2023-05-08
319,354,fair,0.0,1,Assessed after return on 2023-03-20
320,355,fair,0.0,1,Assessed after return on 2023-04-03
321,356,fair,0.0,1,Assessed after return on 2023-04-10
322,357,pristine,0.0,1,Assessed after return on 2023-03-15
323,358,good,0.0,1,Assessed after return on 2023-03-28
324,359,good,0.0,1,Assessed after return on 2023-03-15
325,360,pristine,0.0,1,Assessed after return on 2023-03-31
326,361,good,0.0,1,Assessed after return on 2023-04-20
327,362,good,0.0,1,Assessed after return on 2023-04-17
328,363,pristine,0.0,1,Assessed after return on 2023-03-13
329,364,fair,0.0,1,Assessed after return on 2023-04-11
330,365,good,0.0,1,Assessed after return on 2023-03-30
331,366,good,0.0,1,Assessed after return on 2023-03-27
332,368,pristine,0.0,1,Assessed after return on 2023-04-03
333,369,good,0.0,1,Assessed after return on 2023-04-09
334,370,fair,0.0,1,Assessed after return on 2023-04-21
335,371,good,0.0,1,Assessed after return on 2023-03-06
336,372,good,0.0,1,Assessed after return on 2023-03-29
337,373,fair,0.0,1,Assessed after return on 2023-04-22
338,374,good,0.0,1,Assessed after return on 2023-03-22
339,375,fair,0.0,1,Assessed after return on 2023-03-22
340,376,fair,0.0,1,Assessed after return on 2023-04-03
341,378,good,0.0,1,Assessed after return on 2023-04-08
342,379,good,0.0,1,Assessed after return on 2023-03-19
343,380,good,0.0,1,Assessed after return on 2023-04-08
344,381,fair,0.0,1,Assessed after return on 2023-04-23
345,382,good,0.0,1,Assessed after return on 2023-03-23
346,383,pristine,0.0,1,Assessed after return on 2023-04-22
347,384,good,0.0,1,Assessed after return on 2023-03-26
348,385,pristine,0.0,1,Assessed after return on 2023-03-15
349,386,fair,0.0,1,Assessed after return on 2023-04-15
350,387,pristine,0.0,1,Assessed after return on 2023-04-30
351,388,pristine,0.0,1,Assessed after return on 2023-04-06
352,389,pristine,0.0,1,Assessed after return on 2023-05-01
353,390,pristine,0.0,1,Assessed after return on 2023-04-26
354,391,good,0.0,1,Assessed after return on 2023-04-15
355,392,fair,0.0,1,Assessed after return on 2023-05-04
356,393,good,0.0,1,Assessed after return on 2023-05-09
357,394,good,0.0,1,Assessed after return on 2023-04-14
358,395,pristine,0.0,1,Assessed after return on 2023-05-02
359,396,good,0.0,1,Assessed after return on 2023-04-08
360,397,damaged,85.3,1,Assessed after return on 2023-04-18
361,398,damaged,200.52,1,Assessed after return on 2023-04-27
362,399,good,0.0,1,Assessed after return on 2023-04-18
363,400,good,0.0,1,Assessed after return on 2023-04-20
364,404,good,0.0,1,Assessed after return on 2023-04-23
365,405,good,0.0,1,Assessed after return on 2023-04-26
366,406,good,0.0,1,Assessed after return on 2023-05-03
367,407,fair,0.0,1,Assessed after return on 2023-04-23
368,408,fair,0.0,1,Assessed after return on 2023-05-01
369,409,good,0.0,1,Assessed after return on 2023-04-27
370,410,fair,0.0,1,Assessed after return on 2023-04-18
371,411,damaged,45.85,0,Assessed after return on 2023-05-07
372,412,fair,0.0,1,Assessed after return on 2023-04-24
373,413,fair,0.0,1,Assessed after return on 2023-04-08
374,414,fair,0.0,1,Assessed after return on 2023-05-09
375,415,fair,0.0,1,Assessed after return on 2023-05-09
376,416,good,0.0,1,Assessed after return on 2023-04-21
377,417,good,0.0,1,Assessed after return on 2023-05-06
378,418,good,0.0,1,Assessed after return on 2023-05-04
379,419,fair,0.0,1,Assessed after return on 2023-05-24
380,420,pristine,0.0,1,Assessed after return on 2023-05-25
381,421,good,0.0,1,Assessed after return on 2023-04-04
382,422,pristine,0.0,1,Assessed after return on 2023-05-20
383,423,pristine,0.0,1,Assessed after return on 2023-05-05
384,424,good,0.0,1,Assessed after return on 2023-05-10
385,425,pristine,0.0,1,Assessed after return on 2023-05-12
386,426,good,0.0,1,Assessed after return on 2023-06-05
387,427,good,0.0,1,Assessed after return on 2023-04-20
388,428,good,0.0,1,Assessed after return on 2023-04-21
389,429,fair,0.0,1,Assessed after return on 2023-04-19
390,430,damaged,284.96,1,Assessed after return on 2023-05-04
391,432,pristine,0.0,1,Assessed after return on 2023-05-24
392,433,pristine,0.0,1,Assessed after return on 2023-05-28
393,434,good,0.0,1,Assessed after return on 2023-06-19
394,435,fair,0.0,1,Assessed after return on 2023-07-11
395,436,pristine,0.0,1,Assessed after return on 2023-05-17
396,437,good,0.0,1,Assessed after return on 2023-05-28
397,439,pristine,0.0,1,Assessed after return on 2023-05-19
398,440,good,0.0,1,Assessed after return on 2023-05-24
399,441,pristine,0.0,1,Assessed after return on 2023-05-24
400,442,good,0.0,1,Assessed after return on 2023-06-17
401,443,good,0.0,1,Assessed after return on 2023-07-08
402,444,good,0.0,1,Assessed after return on 2023-05-25
403,445,fair,0.0,1,Assessed after return on 2023-06-23
404,446,pristine,0.0,1,Assessed after return on 2023-05-24
405,447,good,0.0,1,Assessed after return on 2023-05-19
406,448,good,0.0,1,Assessed after return on 2023-05-24
407,449,pristine,0.0,1,Assessed after return on 2023-06-20
408,450,fair,0.0,1,Assessed after return on 2023-05-06
409,451,good,0.0,1,Assessed after return on 2023-06-04
410,452,good,0.0,1,Assessed after return on 2023-05-27
411,453,good,0.0,1,Assessed after return on 2023-06-13
412,455,good,0.0,1,Assessed after return on 2023-05-10
413,456,pristine,0.0,1,Assessed after return on 2023-06-05
414,457,good,0.0,1,Assessed after return on 2023-06-13
415,458,good,0.0,1,Assessed after return on 2023-05-17
416,459,pristine,0.0,1,Assessed after return on 2023-05-25
417,460,fair,0.0,1,Assessed after return on 2023-06-05
418,461,pristine,0.0,1,Assessed after return on 2023-06-28
419,462,pristine,0.0,1,Assessed after return on 2023-06-09
420,463,pristine,0.0,1,Assessed after return on 2023-05-08
421,464,good,0.0,1,Assessed after return on 2023-05-17
422,465,good,0.0,1,Assessed after return on 2023-05-28
423,466,pristine,0.0,1,Assessed after return on 2023-05-30
424,467,pristine,0.0,1,Assessed after return on 2023-05-21
425,468,fair,0.0,1,Assessed after return on 2023-05-27
426,469,damaged,72.68,1,Assessed after return on 2023-05-23
427,470,damaged,178.81,0,Assessed after return on 2023-05-20
428,471,good,0.0,1,Assessed after return on 2023-06-28
429,472,good,0.0,1,Assessed after return on 2023-05-20
430,473,good,0.0,1,Assessed after return on 2023-06-01
431,474,fair,0.0,1,Assessed after return on 2023-05-25
432,475,good,0.0,1,Assessed after return on 2023-05-27
433,476,good,0.0,1,Assessed after return on 2023-05-30
434,477,good,0.0,1,Assessed after return on 2023-05-30
435,479,good,0.0,1,Assessed after return on 2023-06-17
436,480,good,0.0,1,Assessed after return on 2023-05-17
437,481,pristine,0.0,1,Assessed after return on 2023-06-10
438,483,good,0.0,1,Assessed after return on 2023-06-07
439,484,pristine,0.0,1,Assessed after return on 2023-05-26
440,485,good,0.0,1,Assessed after return on 2023-05-29
441,486,good,0.0,1,Assessed after return on 2023-06-08
442,488,pristine,0.0,1,Assessed after return on 2023-05-24
443,489,pristine,0.0,1,Assessed after return on 2023-05-25
444,490,pristine,0.0,1,Assessed after return on 2023-06-10
445,491,good,0.0,1,Assessed after return on 2023-06-10
446,492,pristine,0.0,1,Assessed after return on 2023-06-29
447,493,good,0.0,1,Assessed after return on 2023-07-04
448,494,fair,0.0,1,Assessed after return on 2023-07-02
449,495,fair,0.0,1,Assessed after return on 2023-07-06
450,496,good,0.0,1,Assessed after return on 2023-06-14
451,497,damaged,292.82,1,Assessed after return on 2023-07-01
452,498,good,0.0,1,Assessed after return on 2023-07-18
453,499,good,0.0,1,Assessed after return on 2023-06-02
454,500,pristine,0.0,1,Assessed after return on 2023-07-02
455,501,good,0.0,1,Assessed after return on 2023-07-03
456,502,good,0.0,1,Assessed after return on 2023-07-19
457,503,damaged,17.81,0,Assessed after return on 2023-07-09
458,504,good,0.0,1,Assessed after return on 2023-06-15
459,505,good,0.0,1,Assessed after return on 2023-06-02
460,506,good,0.0,1,Assessed after return on 2023-07-01
461,507,good,0.0,1,Assessed after return on 2023-06-25
462,508,good,0.0,1,Assessed after return on 2023-06-22
463,509,good,0.0,1,Assessed after return on 2023-07-16
464,510,pristine,0.0,1,Assessed after return on 2023-06-23
465,511,pristine,0.0,1,Assessed after return on 2023-08-14
466,512,fair,0.0,1,Assessed after return on 2023-07-08
467,513,pristine,0.0,1,Assessed after return on 2023-06-28
468,514,good,0.0,1,Assessed after return on 2023-06-19
469,515,pristine,0.0,1,Assessed after return on 2023-06-29
470,516,pristine,0.0,1,Assessed after return on 2023-07-01
471,517,good,0.0,1,Assessed after return on 2023-06-26
472,518,fair,0.0,1,Assessed after return on 2023-07-25
473,519,good,0.0,1,Assessed after return on 2023-06-28
474,522,pristine,0.0,1,Assessed after return on 2023-07-08
475,523,fair,0.0,1,Assessed after return on 2023-07-24
476,524,good,0.0,1,Assessed after return on 2023-06-20
477,525,pristine,0.0,1,Assessed after return on 2023-06-13
478,526,damaged,150.79,1,Assessed after return on 2023-06-30
479,527,good,0.0,1,Assessed after return on 2023-07-28
480,528,pristine,0.0,1,Assessed after return on 2023-07-23
481,529,fair,0.0,1,Assessed after return on 2023-06-22
482,530,good,0.0,1,Assessed after return on 2023-07-01
483,531,good,0.0,1,Assessed after return on 2023-07-01
484,532,pristine,0.0,1,Assessed after return on 2023-07-08
485,533,damaged,28.04,0,Assessed after return on 2023-07-21
486,534,pristine,0.0,1,Assessed after return on 2023-06-06
487,535,good,0.0,1,Assessed after return on 2023-07-02
488,536,fair,0.0,1,Assessed after return on 2023-06-15
489,537,good,0.0,1,Assessed after return on 2023-06-18
490,538,pristine,0.0,1,Assessed after return on 2023-06-25
491,539,fair,0.0,1,Assessed after return on 2023-06-15
492,540,pristine,0.0,1,Assessed after return on 2023-06-07
493,542,good,0.0,1,Assessed after return on 2023-07-07
494,543,good,0.0,1,Assessed after return on 2023-06-21
495,544,good,0.0,1,Assessed after return on 2023-08-01
496,545,good,0.0,1,Assessed after return on 2023-08-03
497,548,destroyed,169.5,0,Assessed after return on 2023-07-25
498,549,fair,0.0,1,Assessed after return on 2023-07-27
499,550,good,0.0,1,Assessed after return on 2023-07-20
