rental_id,product_id,customer_id,rental_start,rental_due,rental_returned,daily_rate_eur,deposit_eur,days_held,total_charged,status
51,973,149,2022-06-14,2022-07-03,2022-07-03,3.88,242.5,19,73.72,returned
52,997,657,2022-06-24,2022-07-04,2022-07-12,7.96,367.5,18,183.28,returned
53,997,558,2022-07-13,2022-07-21,2022-07-21,7.96,367.5,8,63.68,returned
54,1058,484,2022-06-03,2022-06-06,2022-06-17,19.34,892.5,14,325.76,returned
55,1720,636,2022-06-10,2022-06-14,2022-06-14,32.09,1146.25,4,128.36,returned
56,1847,200,2022-06-03,2022-06-05,2022-06-04,8.09,288.75,1,8.09,returned
57,1832,271,2022-06-15,2022-06-17,2022-06-16,24.39,871.25,1,24.39,returned
58,896,266,2022-06-23,2022-07-14,2022-07-22,11.18,698.75,29,384.22,returned
59,896,651,2022-07-23,2022-08-01,2022-07-30,11.18,698.75,7,78.26,returned
60,487,665,2022-06-19,2022-06-30,2022-06-28,2.72,99.0,9,24.48,returned
61,700,759,2022-06-26,2022-07-10,2022-07-09,6.7,418.75,13,87.1,returned
62,1023,448,2022-06-13,2022-06-16,2022-06-15,3.93,181.5,2,7.86,returned
63,1492,454,2022-06-19,2022-07-12,2022-07-11,0.85,42.75,22,18.7,returned
64,840,735,2022-06-26,2022-06-27,2022-06-27,2.62,163.75,1,2.62,returned
65,594,684,2022-06-28,2022-07-06,2022-07-04,1.54,56.0,6,9.24,returned
66,594,678,2022-07-05,2022-07-17,2022-07-16,1.54,56.0,11,16.94,returned
67,1680,508,2022-06-19,2022-07-06,2022-07-06,0.57,28.5,17,9.69,returned
68,1766,14,2022-06-18,2022-06-20,2022-06-30,10.75,383.75,12,204.0,returned
69,345,270,2022-06-19,2022-06-28,2022-06-27,2.43,121.5,8,19.44,returned
70,482,399,2022-06-04,2022-06-12,2022-06-10,3.24,118.0,6,19.44,returned
71,482,727,2022-06-28,2022-07-12,2022-07-11,3.24,118.0,13,42.12,returned
72,482,283,2022-07-12,2022-08-03,2022-08-02,3.24,118.0,21,68.04,returned
73,259,304,2022-06-01,2022-06-12,2022-06-14,6.82,378.75,13,103.66,returned
74,64,172,2022-06-19,2022-07-02,2022-07-01,3.06,170.0,12,36.72,returned
75,64,728,2022-07-02,2022-07-19,2022-07-23,3.06,170.0,21,94.26,returned
76,31,48,2022-07-27,2022-08-14,,2.41,133.75,90,1210.0,not_returned
77,978,566,2022-07-14,2022-08-06,2022-08-06,8.66,541.25,23,199.18,returned
78,1354,666,2022-07-03,2022-08-20,2022-08-18,2.42,103.5,46,111.32,returned
79,495,110,2022-07-03,2022-07-05,2022-07-04,3.46,126.0,1,3.46,returned
80,372,313,2022-07-01,2022-07-07,2022-07-10,10.53,526.5,9,109.77,returned
81,1122,223,2022-07-02,2022-07-08,2022-07-14,11.18,516.0,12,164.16,returned
82,183,52,2022-07-27,2022-08-07,2022-08-05,4.75,263.75,9,42.75,returned
83,428,566,2022-07-07,2022-07-11,2022-07-10,9.18,459.0,3,27.54,returned
84,970,92,2022-07-24,2022-08-08,2022-08-11,11.24,702.5,18,224.82,returned
85,268,755,2022-07-15,2022-08-01,2022-08-01,5.04,280.0,17,85.68,returned
86,405,99,2022-07-23,2022-07-28,2022-07-26,2.46,123.0,3,7.38,returned
87,280,249,2022-07-19,2022-07-26,2022-07-26,5.22,290.0,7,36.54,returned
88,1023,151,2022-07-04,2022-07-10,2022-07-09,3.93,181.5,5,19.65,returned
89,922,747,2022-07-27,2022-08-21,2022-08-20,2.46,153.75,24,59.04,returned
90,922,103,2022-08-21,2022-09-05,2022-09-15,2.46,153.75,25,136.5,returned
91,301,364,2022-07-28,2022-07-31,2022-07-30,1.23,61.5,2,2.46,returned
92,129,308,2022-07-04,2022-07-17,2022-07-31,3.69,205.0,27,204.63,returned
93,1070,453,2022-07-15,2022-07-18,2022-07-18,16.05,741.0,3,48.15,returned
94,752,328,2022-07-10,2022-08-01,2022-07-31,10.14,633.75,21,212.94,returned
95,752,506,2022-08-01,2022-08-17,2022-08-15,10.14,633.75,14,141.96,returned
96,457,14,2022-08-07,2022-08-12,2022-08-24,7.38,369.0,17,185.46,returned
97,457,99,2022-08-25,2022-08-26,2022-08-26,7.38,369.0,1,7.38,returned
98,1378,306,2022-08-27,2022-09-30,2022-10-13,0.32,13.5,47,54.04,returned
99,1411,783,2022-08-09,2022-09-10,,0.28,12.0,90,350.0,not_returned
100,268,526,2022-08-24,2022-09-09,2022-09-07,5.04,280.0,14,70.56,returned
101,829,440,2022-08-13,2022-09-01,2022-08-31,8.82,551.25,18,158.76,returned
102,829,265,2022-09-01,2022-09-17,2022-09-17,8.82,551.25,16,141.12,returned
103,846,216,2022-08-05,2022-08-28,2022-08-27,3.58,223.75,22,78.76,returned
104,1375,135,2022-08-26,2022-09-23,2022-09-22,1.52,65.25,27,41.04,returned
105,1647,59,2022-08-01,2022-08-10,2022-08-10,0.45,22.5,9,4.05,returned
106,1616,301,2022-08-21,2022-09-06,,0.36,18.0,90,570.0,not_returned
107,1547,723,2022-08-19,2022-08-28,2022-09-05,1.16,57.75,17,59.72,returned
108,1690,739,2022-08-13,2022-08-28,2022-09-02,0.96,48.0,20,44.2,returned
109,1839,794,2022-08-28,2022-08-30,2022-08-30,26.95,962.5,2,53.9,returned
110,883,88,2022-08-21,2022-09-16,2022-09-15,2.74,171.25,25,68.5,returned
111,1070,228,2022-08-02,2022-08-04,2022-08-10,16.05,741.0,8,158.4,returned
112,1508,429,2022-08-27,2022-09-13,2022-09-23,1.16,57.75,27,81.32,returned
113,835,501,2022-08-16,2022-09-07,,7.16,447.5,90,2465.0,not_returned
114,1860,471,2022-08-09,2022-08-14,2022-08-13,23.94,855.0,4,95.76,returned
115,1860,616,2022-08-14,2022-08-16,2022-08-15,23.94,855.0,1,23.94,returned
116,1860,142,2022-08-16,2022-08-18,2022-08-17,23.94,855.0,1,23.94,returned
117,1786,603,2022-08-19,2022-08-20,2022-08-20,6.72,240.0,1,6.72,returned
118,470,764,2022-08-18,2022-08-24,2022-08-22,2.78,101.0,4,11.12,returned
119,1767,268,2022-08-14,2022-08-17,2022-08-16,23.52,840.0,2,47.04,returned
120,635,597,2022-08-08,2022-08-09,2022-08-09,3.46,126.0,1,3.46,returned
121,635,587,2022-08-19,2022-08-20,2022-08-20,3.46,126.0,1,3.46,returned
122,1802,748,2022-09-22,2022-09-24,2022-09-24,18.2,650.0,2,36.4,returned
123,827,644,2022-09-24,2022-10-20,2022-10-20,4.7,293.75,26,122.2,returned
124,648,34,2022-09-16,2022-09-30,2022-09-30,2.06,75.0,14,28.84,returned
125,648,206,2022-10-01,2022-10-16,2022-10-21,2.06,75.0,20,78.7,returned
126,766,789,2022-09-26,2022-10-07,2022-10-11,5.88,367.5,15,118.2,returned
127,1766,402,2022-09-15,2022-09-17,2022-09-16,10.75,383.75,1,10.75,returned
128,47,439,2022-09-18,2022-10-03,,10.33,573.75,90,2970.0,not_returned
129,1369,90,2022-09-03,2022-09-26,2022-09-25,1.79,76.5,22,39.38,returned
130,142,135,2022-09-24,2022-10-06,2022-10-04,1.69,93.75,10,16.9,returned
131,993,128,2022-09-11,2022-09-12,2022-09-12,20.86,963.0,1,20.86,returned
132,1021,761,2022-09-24,2022-10-02,2022-10-02,6.4,295.5,8,51.2,returned
133,470,722,2022-09-04,2022-09-12,2022-09-12,2.78,101.0,8,22.24,returned
134,816,448,2022-09-23,2022-10-26,,4.8,300.0,90,1875.0,not_returned
135,497,331,2022-09-04,2022-09-14,2022-09-13,1.76,64.0,9,15.84,returned
136,1800,106,2022-09-11,2022-09-13,2022-09-13,10.04,358.75,2,20.08,returned
137,1553,639,2022-09-12,2022-09-26,2022-09-26,1.16,57.75,14,16.24,returned
138,1818,497,2022-09-03,2022-09-06,2022-09-05,13.83,493.75,2,27.66,returned
139,1818,589,2022-09-06,2022-09-09,2022-09-08,13.83,493.75,2,27.66,returned
140,426,126,2022-09-26,2022-10-02,2022-10-16,7.5,375.0,20,220.0,returned
141,1095,268,2022-09-27,2022-10-05,2022-10-05,20.05,925.5,8,160.4,returned
142,1095,653,2022-10-06,2022-10-15,2022-10-13,20.05,925.5,7,140.35,returned
143,1493,287,2022-09-21,2022-10-06,2022-10-06,0.43,21.75,15,6.45,returned
144,1462,596,2022-09-22,2022-10-04,2022-10-02,0.81,40.5,10,8.1,returned
145,452,712,2022-09-14,2022-09-16,2022-09-15,10.59,529.5,1,10.59,returned
146,28,146,2022-09-07,2022-09-24,2022-09-23,6.91,383.75,16,110.56,returned
147,1846,705,2022-09-18,2022-09-21,2022-09-21,32.2,1150.0,3,96.6,returned
148,495,698,2022-09-26,2022-10-01,,3.46,126.0,90,1305.0,not_returned
149,68,352,2022-09-09,2022-09-26,2022-09-26,2.25,125.0,17,38.25,returned
150,68,579,2022-09-27,2022-10-10,,2.25,125.0,90,1175.0,not_returned
151,1757,465,2022-09-08,2022-09-10,2022-09-09,2.14,76.25,1,2.14,returned
152,312,18,2022-09-12,2022-09-14,2022-09-13,9.99,499.5,1,9.99,returned
153,997,17,2022-09-05,2022-09-08,2022-09-08,7.96,367.5,3,23.88,returned
154,997,772,2022-09-23,2022-09-25,2022-09-24,7.96,367.5,1,7.96,returned
155,356,152,2022-09-17,2022-09-23,2022-09-22,5.34,267.0,5,26.7,returned
156,858,119,2022-09-16,2022-09-30,2022-09-28,5.18,323.75,12,62.16,returned
157,519,766,2022-09-25,2022-10-06,2022-10-04,2.09,76.0,9,18.81,returned
158,519,164,2022-10-05,2022-10-11,2022-10-25,2.09,76.0,20,146.8,returned
159,519,724,2022-10-26,2022-11-07,2022-11-07,2.09,76.0,12,25.08,returned
160,188,528,2022-09-21,2022-10-02,2022-10-01,3.49,193.75,10,34.9,returned
161,745,702,2022-09-24,2022-10-02,2022-10-01,8.24,515.0,7,57.68,returned
162,745,593,2022-10-02,2022-10-17,2022-10-17,8.24,515.0,15,123.6,returned
163,450,178,2022-09-26,2022-09-29,2022-09-28,5.1,255.0,2,10.2,returned
164,168,485,2022-10-11,2022-10-26,2022-10-24,4.05,225.0,13,52.65,returned
165,450,653,2022-10-10,2022-10-13,2022-10-11,5.1,255.0,1,5.1,returned
166,1020,573,2022-10-22,2022-11-03,2022-11-03,10.46,483.0,12,125.52,returned
167,801,793,2022-10-12,2022-11-11,2022-11-09,2.24,140.0,28,62.72,returned
168,801,799,2022-11-10,2022-12-02,2022-12-01,2.24,140.0,21,47.04,returned
169,1572,176,2022-10-03,2022-10-22,2022-10-20,0.69,34.5,17,11.73,returned
170,685,546,2022-10-18,2022-11-09,,6.26,391.25,90,2240.0,not_returned
171,1845,198,2022-10-24,2022-10-28,2022-10-27,1.96,70.0,3,5.88,returned
172,1690,772,2022-10-20,2022-10-27,2022-10-25,0.96,48.0,5,4.8,returned
173,1091,277,2022-10-09,2022-10-17,2022-10-15,18.23,841.5,6,109.38,returned
174,1553,396,2022-10-26,2022-11-07,2022-11-18,1.16,57.75,23,81.68,returned
175,1287,669,2022-10-18,2022-11-27,2022-11-28,2.36,101.25,41,99.76,returned
176,253,335,2022-10-25,2022-11-08,2022-11-06,8.35,463.75,12,100.2,returned
177,275,147,2022-10-11,2022-11-01,2022-10-30,4.9,272.5,19,93.1,returned
178,1268,332,2022-10-21,2022-12-13,2022-12-11,0.91,39.0,51,46.41,returned
179,1477,13,2022-10-02,2022-10-19,2022-10-18,0.49,24.75,16,7.84,returned
180,322,666,2022-10-20,2022-10-28,2022-10-28,6.36,318.0,8,50.88,returned
181,322,557,2022-10-29,2022-11-02,2022-10-31,6.36,318.0,2,12.72,returned
182,846,199,2022-10-14,2022-11-01,2022-10-31,3.58,223.75,17,60.86,returned
183,301,402,2022-11-02,2022-11-07,2022-11-05,1.23,61.5,3,3.69,returned
184,1323,146,2022-11-12,2022-12-15,2022-12-14,0.68,29.25,32,21.76,returned
185,886,68,2022-11-22,2022-12-03,2022-12-02,2.88,180.0,10,28.8,returned
186,455,441,2022-11-17,2022-11-22,2022-11-20,5.61,280.5,3,16.83,returned
187,454,184,2022-11-15,2022-11-18,2022-11-16,4.83,241.5,1,4.83,returned
188,1416,265,2022-11-18,2022-12-22,,0.28,12.0,90,350.0,not_returned
189,707,732,2022-11-06,2022-11-16,2022-11-14,3.72,232.5,8,29.76,returned
190,707,297,2022-11-26,2022-12-15,2022-12-15,3.72,232.5,19,70.68,returned
191,742,115,2022-11-25,2022-12-24,2022-12-29,5.0,312.5,34,207.5,returned
192,604,530,2022-11-03,2022-11-11,,1.95,71.0,90,1030.0,not_returned
193,1254,775,2022-11-16,2022-12-11,2022-12-11,1.47,63.0,25,36.75,returned
194,149,598,2022-11-01,2022-11-18,,5.62,312.5,90,1925.0,not_returned
195,482,272,2022-11-18,2022-12-04,2022-12-03,3.24,118.0,15,48.6,returned
196,1460,441,2022-11-25,2022-12-12,2022-12-11,0.28,12.0,16,4.48,returned
197,377,358,2022-11-09,2022-11-14,2022-11-13,10.26,513.0,4,41.04,returned
198,494,723,2022-11-01,2022-11-11,,3.05,111.0,90,1230.0,not_returned
199,1378,729,2022-11-08,2022-12-10,2022-12-09,0.32,13.5,31,9.92,returned
200,866,777,2022-11-02,2022-11-21,2022-11-19,8.56,535.0,17,145.52,returned
201,623,438,2022-11-27,2022-12-02,2022-12-01,2.86,104.0,4,11.44,returned
202,623,15,2022-12-02,2022-12-15,,2.86,104.0,90,1195.0,not_returned
203,1605,105,2022-11-16,2022-12-06,2022-12-05,0.6,30.0,19,11.4,returned
204,1823,584,2022-11-07,2022-11-09,2022-11-09,17.15,612.5,2,34.3,returned
205,844,574,2022-12-03,2022-12-25,2022-12-24,9.18,573.75,21,192.78,returned
206,844,132,2022-12-25,2023-01-15,2023-01-14,9.18,573.75,20,183.6,returned
207,21,677,2022-12-12,2022-12-27,2022-12-27,7.09,393.75,15,106.35,returned
208,21,372,2022-12-28,2023-01-10,2023-01-09,7.09,393.75,12,85.08,returned
209,1027,430,2022-12-09,2022-12-16,2022-12-15,7.73,357.0,6,46.38,returned
210,1027,93,2022-12-24,2022-12-29,2023-01-04,7.73,357.0,11,115.03,returned
211,1027,783,2023-01-05,2023-01-06,2023-01-06,7.73,357.0,1,7.73,returned
212,1513,722,2022-12-26,2023-01-09,2023-01-09,0.45,22.5,14,6.3,returned
213,81,593,2022-12-22,2022-12-29,2022-12-29,4.57,253.75,7,31.99,returned
214,81,207,2022-12-30,2023-01-17,2023-01-15,4.57,253.75,16,73.12,returned
215,456,763,2022-12-27,2022-12-31,,11.31,565.5,90,2335.0,not_returned
216,102,432,2022-12-05,2022-12-22,2022-12-22,5.04,280.0,17,85.68,returned
217,533,154,2022-12-21,2022-12-28,2022-12-28,2.89,105.0,7,20.23,returned
218,1434,358,2022-12-12,2023-01-28,2023-01-31,0.28,12.0,50,23.0,returned
219,200,288,2022-12-21,2023-01-05,2023-01-18,6.82,378.75,28,288.46,returned
220,1750,335,2022-12-27,2022-12-30,2022-12-29,29.96,1070.0,2,59.92,returned
221,1710,233,2022-12-11,2022-12-13,2022-12-15,9.24,330.0,4,51.96,returned
222,531,105,2022-12-22,2022-12-24,2023-01-03,1.76,64.0,12,96.12,returned
223,1767,62,2022-12-10,2022-12-13,2022-12-13,23.52,840.0,3,70.56,returned
224,473,79,2022-12-18,2022-12-19,2022-12-19,3.3,120.0,1,3.3,returned
225,1193,175,2022-12-25,2022-12-27,,12.35,570.0,90,2350.0,not_returned
226,1478,728,2022-12-13,2022-12-22,2022-12-20,0.69,34.5,7,4.83,returned
227,1332,463,2022-12-10,2023-01-22,,0.3,12.75,90,355.0,not_returned
228,1187,734,2022-12-26,2022-12-31,2022-12-31,4.03,186.0,5,20.15,returned
229,1292,512,2022-12-12,2022-12-30,2022-12-29,3.12,133.5,17,53.04,returned
230,1146,685,2022-12-21,2022-12-26,2022-12-24,10.72,495.0,3,32.16,returned
231,1146,374,2022-12-25,2023-01-05,2023-01-05,10.72,495.0,11,117.92,returned
232,1146,616,2023-01-06,2023-01-14,2023-01-13,10.72,495.0,7,75.04,returned
233,245,650,2022-12-22,2023-01-09,2023-01-20,1.44,80.0,29,124.26,returned
234,1107,442,2022-12-26,2022-12-28,2022-12-27,15.18,700.5,1,15.18,returned
235,1709,434,2022-12-05,2022-12-08,2022-12-07,29.09,1038.75,2,58.18,returned
236,578,748,2022-12-16,2022-12-20,2022-12-19,2.64,96.0,3,7.92,returned
237,487,33,2022-12-25,2023-01-14,2023-01-24,2.72,99.0,30,156.6,returned
238,1691,640,2022-12-26,2023-01-09,2023-01-09,0.29,14.25,14,4.06,returned
239,1069,772,2022-12-02,2022-12-08,2022-12-07,1.72,79.5,5,8.6,returned
240,1197,701,2022-12-13,2022-12-18,2022-12-17,13.0,600.0,4,52.0,returned
241,1197,377,2022-12-24,2022-12-29,2022-12-28,13.0,600.0,4,52.0,returned
242,1197,270,2022-12-29,2023-01-03,2023-01-02,13.0,600.0,4,52.0,returned
243,1713,452,2022-12-27,2022-12-29,,33.7,1203.75,90,5490.0,not_returned
244,364,715,2022-12-10,2022-12-15,2022-12-14,3.9,195.0,4,15.6,returned
245,91,583,2022-12-04,2022-12-26,2022-12-26,1.8,100.0,22,39.6,returned
246,91,666,2022-12-27,2022-12-31,2022-12-31,1.8,100.0,4,7.2,returned
247,375,47,2023-01-07,2023-01-13,2023-01-13,3.84,192.0,6,23.04,returned
248,444,697,2023-01-28,2023-02-01,,6.9,345.0,90,1600.0,not_returned
249,674,665,2023-01-08,2023-01-22,2023-01-20,9.72,607.5,12,116.64,returned
250,1685,21,2023-01-15,2023-01-27,2023-01-25,0.66,33.0,10,6.6,returned
251,64,757,2023-01-05,2023-01-21,2023-01-21,3.06,170.0,16,48.96,returned
252,1122,391,2023-01-02,2023-01-07,2023-01-06,11.18,516.0,4,44.72,returned
253,124,558,2023-01-10,2023-01-18,2023-01-16,6.37,353.75,6,38.22,returned
254,124,314,2023-01-17,2023-01-30,2023-01-29,6.37,353.75,12,76.44,returned
255,686,264,2023-01-22,2023-02-17,,8.54,533.75,90,2810.0,not_returned
256,728,254,2023-01-03,2023-01-21,2023-01-29,2.64,165.0,26,128.64,returned
257,227,650,2023-01-24,2023-02-02,2023-02-01,9.72,540.0,8,77.76,returned
258,1091,447,2023-01-20,2023-01-26,2023-01-25,18.23,841.5,5,91.15,returned
259,1091,338,2023-01-26,2023-01-30,2023-01-28,18.23,841.5,2,36.46,returned
260,1091,262,2023-01-29,2023-02-07,2023-02-06,18.23,841.5,8,145.84,returned
261,647,602,2023-01-26,2023-02-06,2023-02-04,2.83,103.0,9,25.47,returned
262,647,451,2023-02-05,2023-02-21,2023-02-21,2.83,103.0,16,45.28,returned
263,647,261,2023-02-22,2023-02-28,2023-02-28,2.83,103.0,6,16.98,returned
264,647,578,2023-03-01,2023-03-14,2023-03-22,2.83,103.0,21,119.43,returned
265,647,46,2023-03-23,2023-04-06,2023-04-05,2.83,103.0,13,36.79,returned
266,844,627,2023-01-22,2023-02-04,2023-02-04,9.18,573.75,13,119.34,returned
267,747,4,2023-01-13,2023-02-07,2023-02-06,5.26,328.75,24,126.24,returned
268,764,585,2023-01-08,2023-01-27,2023-01-27,5.66,353.75,19,107.54,returned
269,743,622,2023-01-28,2023-02-13,2023-02-22,9.82,613.75,25,313.0,returned
270,395,696,2023-01-16,2023-01-23,2023-01-28,2.1,105.0,12,50.2,returned
271,395,259,2023-01-29,2023-02-03,2023-02-03,2.1,105.0,5,10.5,returned
272,395,282,2023-02-04,2023-02-07,,2.1,105.0,90,800.0,not_returned
273,1048,372,2023-01-16,2023-01-20,2023-01-23,20.57,949.5,7,158.99,returned
274,530,739,2023-01-23,2023-02-02,2023-02-02,3.57,130.0,10,35.7,returned
275,377,667,2023-01-07,2023-01-12,2023-01-12,10.26,513.0,5,51.3,returned
276,1444,400,2023-01-24,2023-03-06,2023-03-06,2.71,116.25,41,111.11,returned
277,563,695,2023-01-01,2023-01-20,2023-01-20,2.28,83.0,19,43.32,returned
278,533,20,2023-01-09,2023-01-19,,2.89,105.0,90,1200.0,not_returned
279,1802,693,2023-01-23,2023-01-26,2023-01-24,18.2,650.0,1,18.2,returned
280,1625,510,2023-01-27,2023-02-08,2023-02-07,1.12,56.25,11,12.32,returned
281,939,342,2023-01-12,2023-01-29,2023-01-29,11.18,698.75,17,190.06,returned
282,858,369,2023-01-03,2023-01-27,2023-01-27,5.18,323.75,24,124.32,returned
283,858,46,2023-01-28,2023-02-13,2023-02-12,5.18,323.75,15,77.7,returned
284,758,142,2023-01-27,2023-02-22,2023-02-21,2.68,167.5,25,67.0,returned
285,867,129,2023-01-08,2023-02-05,2023-02-05,7.68,480.0,28,215.04,returned
286,867,12,2023-02-06,2023-02-25,2023-03-02,7.68,480.0,24,221.82,returned
287,477,74,2023-01-02,2023-01-09,2023-01-22,2.92,106.0,20,155.9,returned
288,485,642,2023-02-17,2023-03-06,2023-03-04,2.09,76.0,15,31.35,returned
289,1231,102,2023-02-02,2023-03-07,2023-03-07,1.93,82.5,33,63.69,returned
290,62,375,2023-02-21,2023-03-06,2023-03-06,1.87,103.75,13,24.31,returned
291,922,716,2023-02-04,2023-03-05,2023-03-04,2.46,153.75,28,68.88,returned
292,122,436,2023-02-08,2023-02-16,2023-02-14,8.37,465.0,6,50.22,returned
293,1482,145,2023-02-19,2023-03-02,2023-03-02,0.49,24.75,11,5.39,returned
294,946,60,2023-02-03,2023-02-12,2023-02-25,6.92,432.5,22,249.74,returned
295,877,440,2023-02-20,2023-03-04,2023-03-03,8.1,506.25,11,89.1,returned
296,910,798,2023-02-06,2023-03-02,2023-02-28,8.7,543.75,22,191.4,returned
297,1848,776,2023-02-01,2023-02-05,2023-02-10,32.87,1173.75,9,333.33,returned
298,1227,59,2023-02-26,2023-03-07,2023-03-07,0.98,42.0,9,8.82,returned
299,1462,5,2023-02-17,2023-03-08,2023-03-07,0.81,40.5,18,14.58,returned
300,476,583,2023-02-16,2023-02-27,2023-02-25,3.52,128.0,9,31.68,returned
301,1222,47,2023-02-01,2023-02-27,2023-02-25,0.91,39.0,24,21.84,returned
302,153,540,2023-02-10,2023-02-16,2023-02-15,4.3,238.75,5,21.5,returned
303,51,341,2023-02-15,2023-03-06,2023-03-06,5.26,292.5,19,99.94,returned
304,941,108,2023-02-22,2023-03-15,2023-03-14,2.46,153.75,20,49.2,returned
305,941,68,2023-03-15,2023-04-05,,2.46,153.75,90,1290.0,not_returned
306,1017,629,2023-02-04,2023-02-13,2023-02-13,16.38,756.0,9,147.42,returned
307,1866,73,2023-02-23,2023-02-28,2023-02-27,11.13,397.5,4,44.52,returned
308,1187,254,2023-02-08,2023-02-12,2023-02-11,4.03,186.0,3,12.09,returned
309,1111,237,2023-02-22,2023-02-24,,11.15,514.5,90,2165.0,not_returned
310,124,723,2023-02-13,2023-03-02,2023-03-01,6.37,353.75,16,101.92,returned
311,846,407,2023-02-22,2023-03-20,2023-03-19,3.58,223.75,25,89.5,returned
312,722,548,2023-02-28,2023-03-18,2023-03-17,11.14,696.25,17,189.38,returned
313,367,674,2023-02-09,2023-02-11,,9.9,495.0,90,2100.0,not_returned
314,1731,410,2023-02-15,2023-02-17,2023-02-16,7.04,251.25,1,7.04,returned
