product_id,original_retail_price,months_at_enrollment,months_unsold_at_comparison,discount_pct,hypothetical_discount_price,total_gross_rental_revenue,total_operational_cost,total_net_rental_revenue,n_rentals,months_on_rental,rental_vs_discount_ratio,is_rental_more_profitable,product_name,brand,category_id,category_name
37,197.9,9.9,8.7,0.4,118.74,0.0,0.0,0.0,0,0.0,0.0,0,Xiaomi Smartphone Max,Xiaomi,1,Smartphones
38,1520.63,9.9,15.8,0.4,912.38,626.3,108.55,517.75,5,2.07,0.5675,0,OnePlus Smartphone Max,Apple,1,Smartphones
39,180.29,9.9,11.8,0.4,108.17,82.68,17.57,65.11,1,0.23,0.6019,0,Xiaomi Smartphone SE,Apple,1,Smartphones
40,61.32,9.9,7.9,0.4,36.79,0.0,0.0,0.0,0,0.0,0.0,0,Xiaomi Smartphone,Xiaomi,1,Smartphones
41,556.11,9.9,33.7,0.7,166.83,355.43,70.17,285.26,5,2.07,1.7099,1,Samsung Smartphone SE,OnePlus,1,Smartphones
42,212.93,9.9,20.8,0.5,106.47,425.04,87.23,337.81,5,3.65,3.1728,1,Apple Smartphone Max,Xiaomi,1,Smartphones
43,1101.89,9.9,11.7,0.4,661.13,88.14,15.36,72.78,1,0.23,0.1101,0,Apple Smartphone Plus,OnePlus,1,Smartphones
44,357.2,9.9,47.5,0.75,89.3,224.75,40.2,184.55,4,1.38,2.0666,1,Xiaomi Smartphone Pro,Apple,1,Smartphones
45,599.89,9.9,6.4,0.4,359.93,0.0,0.0,0.0,0,0.0,0.0,0,Samsung Smartphone Pro,Samsung,1,Smartphones
46,81.08,9.9,35.7,0.7,24.32,161.64,24.66,68.92,2,0.46,2.8339,1,Dell Laptop Plus,HP,2,Laptops
47,424.38,9.9,35.6,0.7,127.31,687.57,137.69,549.88,7,3.52,4.3192,1,Dell Laptop Ultra,HP,2,Laptops
48,443.24,9.9,39.3,0.75,110.81,895.51,187.61,707.9,5,3.52,6.3884,1,Apple Laptop Max,Apple,2,Laptops
49,143.31,9.9,9.1,0.4,85.99,0.0,0.0,0.0,0,0.0,0.0,0,Dell Laptop Max,Asus,2,Laptops
50,336.63,9.9,19.2,0.5,168.31,342.63,48.39,294.24,4,1.91,1.7482,1,Lenovo Laptop,Lenovo,2,Laptops
51,121.09,9.9,46.0,0.75,30.27,399.12,75.71,323.41,5,2.53,10.6842,1,Asus Laptop Max,Apple,2,Laptops
52,251.5,9.9,42.2,0.75,62.88,343.2,68.81,274.39,4,2.89,4.3637,1,HP Laptop Lite,Asus,2,Laptops
53,438.91,9.9,10.6,0.4,263.35,106.82,15.49,91.33,1,0.69,0.3468,0,Dell Laptop X,Dell,2,Laptops
54,558.08,9.9,30.6,0.7,167.42,660.22,122.06,538.16,6,2.83,3.2144,1,HP Laptop Ultra,Apple,2,Laptops
55,536.28,9.9,31.9,0.7,160.88,239.54,52.42,187.12,3,1.68,1.1631,1,Apple Laptop X,Dell,2,Laptops
56,138.03,9.9,31.6,0.7,41.41,520.51,113.68,406.83,5,2.07,9.8244,1,Dell Laptop,Dell,2,Laptops
57,99.55,9.9,18.1,0.5,49.77,117.67,24.22,93.45,2,0.46,1.8776,1,Apple Laptop Max,HP,2,Laptops
58,130.26,9.9,7.8,0.4,78.16,0.0,0.0,0.0,0,0.0,0.0,0,Lenovo Laptop Pro,Lenovo,2,Laptops
59,141.59,9.9,17.6,0.4,84.95,429.21,83.37,345.84,3,1.84,4.0711,1,Dell Laptop X,Dell,2,Laptops
60,1417.8,9.9,18.3,0.5,708.9,857.6,169.99,687.61,4,2.14,0.97,0,HP Laptop Max,Apple,2,Laptops
61,111.28,9.9,12.9,0.4,66.77,382.22,68.04,314.18,3,1.68,4.7054,1,Asus Laptop Max,Lenovo,2,Laptops
62,466.08,9.9,9.7,0.4,279.65,0.0,0.0,0.0,0,0.0,0.0,0,HP Laptop X,Apple,2,Laptops
63,559.83,9.9,8.3,0.4,335.9,0.0,0.0,0.0,0,0.0,0.0,0,Lenovo Laptop Lite,Asus,2,Laptops
64,1502.88,9.9,11.2,0.4,901.73,227.43,34.12,193.31,1,0.46,0.2144,0,Lenovo Laptop Max,Dell,2,Laptops
65,732.76,9.9,31.2,0.7,219.83,525.01,96.07,428.94,4,2.37,1.9512,1,Lenovo Laptop SE,Asus,2,Laptops
66,417.09,9.9,25.1,0.6,166.84,441.8,92.98,348.82,6,3.22,2.0907,1,Dell Laptop Max,HP,2,Laptops
67,621.73,9.9,8.6,0.4,373.04,0.0,0.0,0.0,0,0.0,0.0,0,Dell Laptop Pro,Lenovo,2,Laptops
68,1608.53,9.9,33.1,0.7,482.56,636.8,140.06,496.74,3,1.15,1.0294,1,Dell Laptop Max,Lenovo,2,Laptops
69,407.54,9.9,44.0,0.75,101.89,331.08,58.05,273.03,4,2.07,2.6797,1,Apple Laptop Plus,HP,2,Laptops
70,122.13,9.9,10.5,0.4,73.28,81.15,17.25,63.9,1,0.23,0.872,0,Apple Laptop Lite,Lenovo,2,Laptops
71,104.36,9.9,21.9,0.5,52.18,440.5,69.22,371.28,5,2.99,7.1154,1,Asus Laptop,Apple,2,Laptops
72,370.72,9.9,16.5,0.4,222.43,193.33,32.31,161.02,3,1.61,0.7239,0,Asus Laptop Max,HP,2,Laptops
73,409.76,9.9,22.1,0.5,204.88,180.06,33.17,146.89,2,1.15,0.717,0,HP Laptop,Dell,2,Laptops
74,787.38,9.9,23.7,0.5,393.69,462.44,85.98,376.46,5,2.3,0.9562,0,HP Laptop,HP,2,Laptops
75,427.78,9.9,14.4,0.4,256.67,177.02,35.01,142.01,3,1.38,0.5533,0,HP Laptop,Lenovo,2,Laptops
76,329.6,9.9,13.8,0.4,197.76,224.69,46.48,178.21,4,2.07,0.9011,0,Asus Laptop Ultra,Lenovo,2,Laptops
77,1003.04,9.9,23.6,0.5,501.52,563.07,112.78,450.29,4,1.61,0.8979,0,Apple Laptop Plus,Asus,2,Laptops
78,256.05,9.9,7.3,0.4,153.63,0.0,0.0,0.0,0,0.0,0.0,0,Apple Laptop Plus,HP,2,Laptops
79,361.02,9.9,22.4,0.5,180.51,445.59,98.98,346.61,4,1.84,1.9202,1,Asus Laptop Ultra,Dell,2,Laptops
80,226.87,9.9,22.7,0.5,113.44,319.72,54.49,265.23,6,3.06,2.3381,1,Asus Laptop Ultra,Apple,2,Laptops
81,453.24,9.9,9.6,0.4,271.94,0.0,0.0,0.0,0,0.0,0.0,0,Dell Laptop SE,HP,2,Laptops
82,227.3,9.9,7.7,0.4,136.38,0.0,0.0,0.0,0,0.0,0.0,0,HP Laptop Max,Dell,2,Laptops
83,393.5,9.9,25.9,0.6,157.4,508.13,97.17,410.96,6,2.76,2.6109,1,Dell Laptop X,Apple,2,Laptops
84,124.32,9.9,7.3,0.4,74.59,0.0,0.0,0.0,0,0.0,0.0,0,Lenovo Laptop Ultra,Dell,2,Laptops
85,584.84,9.9,23.0,0.5,292.42,391.7,83.2,308.5,4,2.07,1.055,1,Asus Laptop Max,Apple,2,Laptops
86,153.98,9.9,12.0,0.4,92.39,118.61,20.25,98.36,2,0.69,1.0646,1,Dell Laptop X,Dell,2,Laptops
87,277.04,9.9,7.6,0.4,166.22,0.0,0.0,0.0,0,0.0,0.0,0,HP Laptop Plus,Apple,2,Laptops
88,392.42,9.9,19.2,0.5,196.21,583.98,107.99,475.99,6,3.29,2.4259,1,Apple Laptop SE,Asus,2,Laptops
89,370.73,9.9,12.1,0.4,222.44,156.58,31.0,125.58,2,0.69,0.5646,0,HP Laptop Lite,Lenovo,2,Laptops
90,55.64,9.9,22.9,0.5,27.82,210.43,31.52,178.91,3,1.15,6.431,1,Lenovo Laptop X,Apple,2,Laptops
91,103.19,9.9,47.8,0.75,25.8,310.03,57.49,252.54,4,2.3,9.7884,1,Apple Laptop Pro,Lenovo,2,Laptops
92,1101.1,9.9,9.2,0.4,660.66,0.0,0.0,0.0,0,0.0,0.0,0,Asus Laptop Plus,Apple,2,Laptops
93,876.68,9.9,35.4,0.7,263.0,505.38,108.11,397.27,3,2.43,1.5105,1,Dell Laptop Ultra,Asus,2,Laptops
94,182.57,9.9,14.9,0.4,109.54,323.95,52.07,242.39,5,1.84,2.2128,1,Apple Laptop,HP,2,Laptops
95,414.79,9.9,37.5,0.75,103.7,343.88,65.25,278.63,4,2.3,2.6869,1,Apple Laptop Ultra,Apple,2,Laptops
96,99.36,9.9,35.9,0.7,29.81,881.68,140.48,741.2,4,3.42,24.8641,1,Lenovo Tablet X,Huawei,3,Tablets
97,691.36,9.9,18.2,0.5,345.68,490.06,94.32,395.74,5,2.37,1.1448,1,Huawei Tablet,Samsung,3,Tablets
98,160.09,9.9,34.1,0.7,48.03,296.82,55.43,241.39,4,2.14,5.0258,1,Apple Tablet Ultra,Apple,3,Tablets
99,790.33,9.9,11.8,0.4,474.2,383.57,74.23,309.34,1,1.48,0.6523,0,Lenovo Tablet X,Samsung,3,Tablets
100,133.43,9.9,44.1,0.75,33.36,820.33,163.5,656.83,6,4.07,19.6891,1,Apple Tablet Pro,Huawei,3,Tablets
101,728.38,9.9,12.5,0.4,437.03,266.3,53.05,213.25,2,0.92,0.488,0,Samsung Tablet X,Apple,3,Tablets
102,799.65,9.9,18.3,0.5,399.82,1401.09,256.68,1144.41,6,5.35,2.8623,1,Samsung Tablet Plus,Huawei,3,Tablets
103,196.02,9.9,11.9,0.4,117.61,437.31,96.57,340.74,2,1.97,2.8972,1,Samsung Tablet Lite,Samsung,3,Tablets
104,240.88,9.9,10.2,0.4,144.53,343.78,54.55,289.23,1,0.99,2.0012,1,Huawei Tablet Plus,Lenovo,3,Tablets
105,580.35,9.9,9.5,0.4,348.21,0.0,0.0,0.0,0,0.0,0.0,0,Apple Tablet X,Lenovo,3,Tablets
106,840.43,9.9,17.2,0.4,504.26,1183.34,243.62,939.72,6,4.6,1.8636,1,Huawei Tablet,Lenovo,3,Tablets
107,1525.11,9.9,8.3,0.4,915.07,0.0,0.0,0.0,0,0.0,0.0,0,Samsung Tablet Lite,Apple,3,Tablets
108,141.1,9.9,28.2,0.6,56.44,1179.98,225.31,954.67,7,5.58,16.9148,1,Apple Tablet X,Samsung,3,Tablets
109,204.65,9.9,16.8,0.4,122.79,331.05,59.2,271.85,5,2.89,2.2139,1,Apple Tablet SE,Samsung,3,Tablets
110,258.37,9.9,42.2,0.75,64.59,444.7,89.45,355.25,4,3.42,5.5001,1,Huawei Tablet SE,Apple,3,Tablets
111,407.08,9.9,47.0,0.75,101.77,708.52,145.27,563.25,6,4.34,5.5345,1,Lenovo Tablet Plus,Samsung,3,Tablets
112,56.18,9.9,8.5,0.4,33.71,0.0,0.0,0.0,0,0.0,0.0,0,Apple Tablet Lite,Lenovo,3,Tablets
113,485.63,9.9,11.5,0.4,291.38,73.04,14.62,58.42,1,0.46,0.2005,0,Samsung Tablet Max,Samsung,3,Tablets
114,375.44,9.9,18.3,0.5,187.72,811.0,151.68,659.32,7,5.06,3.5123,1,Lenovo Tablet Plus,Lenovo,3,Tablets
115,515.88,9.9,15.4,0.4,309.53,575.45,104.1,471.35,4,3.15,1.5228,1,Samsung Tablet Ultra,Lenovo,3,Tablets
116,809.03,9.9,13.9,0.4,485.42,538.54,109.36,429.18,3,2.2,0.8841,0,Apple Tablet SE,Huawei,3,Tablets
117,546.81,9.9,18.2,0.5,273.4,125.1,27.06,98.04,2,0.69,0.3586,0,Lenovo Tablet Plus,Samsung,3,Tablets
118,882.95,9.9,16.8,0.4,529.77,318.1,52.99,265.11,2,1.22,0.5004,0,Samsung Tablet SE,Samsung,3,Tablets
119,896.68,9.9,17.8,0.4,538.01,828.37,164.83,663.54,6,2.83,1.2333,1,Samsung Tablet Pro,Lenovo,3,Tablets
120,203.61,9.9,21.2,0.5,101.81,455.33,85.03,370.3,5,5.88,3.6372,1,Lenovo Tablet Ultra,Samsung,3,Tablets
121,334.8,9.9,28.6,0.6,133.92,161.22,32.6,128.62,4,1.38,0.9604,0,Huawei Tablet SE,Apple,3,Tablets
122,512.72,9.9,8.7,0.4,307.63,0.0,0.0,0.0,0,0.0,0.0,0,Lenovo Tablet X,Huawei,3,Tablets
123,129.68,9.9,12.8,0.4,77.81,254.57,47.46,207.11,3,1.15,2.6617,1,Samsung Tablet SE,Samsung,3,Tablets
124,987.76,9.9,21.0,0.5,493.88,847.96,142.65,705.31,6,3.12,1.4281,1,Lenovo Tablet Plus,Lenovo,3,Tablets
125,54.5,9.9,12.4,0.4,32.7,205.66,33.63,172.03,2,0.69,5.2609,1,Huawei Tablet Max,Apple,3,Tablets
126,149.24,9.9,26.0,0.6,59.7,826.66,175.12,651.54,3,3.94,10.9136,1,Lenovo Tablet,Apple,3,Tablets
127,470.61,9.9,16.2,0.4,282.37,534.65,109.66,424.99,4,3.38,1.5051,1,Samsung Tablet,Samsung,3,Tablets
128,199.0,9.9,28.2,0.6,79.6,538.11,109.11,429.0,6,3.35,5.3894,1,Samsung Tablet Max,Huawei,3,Tablets
129,1122.7,9.9,29.5,0.6,449.08,832.76,162.87,669.89,5,2.37,1.4917,1,Apple Tablet Ultra,Huawei,3,Tablets
130,377.77,9.9,28.3,0.6,151.11,350.65,66.26,284.39,5,3.09,1.882,1,Samsung Tablet Max,Apple,3,Tablets
131,391.67,9.9,19.2,0.5,195.84,206.27,38.71,167.56,3,1.15,0.8556,0,Lenovo Tablet Ultra,Huawei,3,Tablets
132,408.49,9.9,11.6,0.4,245.09,182.32,29.21,153.11,1,1.48,0.6247,0,Fitbit Wearable Pro,Samsung,4,Wearables
133,340.65,9.9,32.6,0.7,102.2,631.96,122.53,509.43,6,4.63,4.9846,1,Fitbit Wearable,Samsung,4,Wearables
134,590.69,9.9,25.7,0.6,236.28,1151.19,233.14,918.05,8,6.04,3.8854,1,Fitbit Wearable X,Fitbit,4,Wearables
135,302.63,9.9,8.7,0.4,181.58,0.0,0.0,0.0,0,0.0,0.0,0,Fitbit Wearable X,Fitbit,4,Wearables
136,139.03,9.9,13.1,0.4,83.42,490.83,95.16,395.67,2,2.46,4.7431,1,Samsung Wearable,Apple,4,Wearables
137,529.05,9.9,40.5,0.75,132.26,717.68,149.52,568.16,5,3.91,4.2958,1,Fitbit Wearable Pro,Fitbit,4,Wearables
138,130.3,9.9,28.4,0.6,52.12,965.41,187.05,569.27,6,5.35,10.9223,1,Apple Wearable Max,Apple,4,Wearables
139,254.58,9.9,15.4,0.4,152.75,351.0,73.62,277.38,4,2.37,1.8159,1,Fitbit Wearable X,Garmin,4,Wearables
140,360.48,9.9,18.7,0.5,180.24,656.49,127.0,529.49,3,2.92,2.9377,1,Samsung Wearable Plus,Samsung,4,Wearables
141,552.03,9.9,32.0,0.7,165.61,787.35,144.55,642.8,6,4.34,3.8814,1,Garmin Wearable Lite,Garmin,4,Wearables
142,1361.95,9.9,31.1,0.7,408.59,1947.36,348.74,1598.62,7,6.37,3.9125,1,Garmin Wearable Pro,Fitbit,4,Wearables
143,149.74,9.9,22.2,0.5,74.87,316.78,54.33,210.44,4,3.68,2.8107,1,Apple Wearable SE,Garmin,4,Wearables
144,179.7,9.9,46.6,0.75,44.92,828.51,150.84,677.67,5,5.16,15.0862,1,Fitbit Wearable Plus,Apple,4,Wearables
145,421.52,9.9,16.8,0.4,252.91,492.1,93.7,398.4,5,3.38,1.5753,1,Fitbit Wearable Lite,Garmin,4,Wearables
146,358.87,9.9,17.6,0.4,215.32,831.54,159.71,671.83,6,4.37,3.1201,1,Garmin Wearable Max,Fitbit,4,Wearables
147,361.19,9.9,24.3,0.6,144.48,536.52,94.22,442.3,5,4.37,3.0613,1,Apple Wearable X,Garmin,4,Wearables
148,559.3,9.9,7.1,0.4,335.58,0.0,0.0,0.0,0,0.0,0.0,0,Apple Wearable X,Garmin,4,Wearables
149,1259.44,9.9,20.3,0.5,629.72,454.26,101.07,353.19,3,1.15,0.5609,0,Samsung Wearable Lite,Garmin,4,Wearables
150,345.92,9.9,33.4,0.7,103.78,311.16,66.26,244.9,5,2.14,2.3598,1,Garmin Wearable Ultra,Garmin,4,Wearables
151,197.55,9.9,34.8,0.7,59.27,400.38,69.31,331.07,5,2.3,5.5858,1,Samsung Wearable SE,Fitbit,4,Wearables
152,1386.87,9.9,14.5,0.4,832.12,1093.92,214.01,879.91,3,3.45,1.0574,1,Fitbit Wearable Max,Samsung,4,Wearables
153,1480.34,9.9,43.0,0.75,370.08,1263.77,210.77,1053.0,4,2.89,2.8453,1,Fitbit Wearable X,Garmin,4,Wearables
154,329.4,9.9,35.2,0.7,98.82,583.69,107.83,475.86,4,2.66,4.8154,1,Samsung Wearable SE,Apple,4,Wearables
155,537.74,9.9,32.1,0.7,161.32,325.39,54.68,270.71,3,1.68,1.6781,1,Apple Wearable X,Samsung,4,Wearables
156,253.26,9.9,7.2,0.4,151.96,0.0,0.0,0.0,0,0.0,0.0,0,Samsung Wearable X,Apple,4,Wearables
157,384.59,9.9,8.2,0.4,230.75,0.0,0.0,0.0,0,0.0,0.0,0,Samsung Wearable X,Fitbit,4,Wearables
158,645.63,9.9,14.4,0.4,387.38,281.48,53.01,228.47,3,1.15,0.5898,0,Fitbit Wearable,Apple,4,Wearables
159,1019.64,9.9,21.8,0.5,509.82,518.42,88.89,429.53,3,1.68,0.8425,0,Samsung Wearable Plus,Garmin,4,Wearables
160,873.41,9.9,23.9,0.5,436.7,916.57,148.14,768.43,4,3.19,1.7596,1,Samsung Wearable Max,Samsung,4,Wearables
161,1762.19,9.9,24.2,0.6,704.88,2368.34,417.01,1951.33,5,4.4,2.7683,1,Fitbit Wearable,Samsung,4,Wearables
162,56.56,9.9,17.4,0.4,33.94,810.54,145.21,665.33,5,3.38,19.6031,1,Garmin Wearable Pro,Garmin,4,Wearables
163,278.99,9.9,26.2,0.6,111.6,1042.55,210.39,832.16,6,5.35,7.4566,1,Apple Wearable Max,Apple,4,Wearables
164,272.24,9.9,10.4,0.3,190.57,18.29,4.0,14.29,1,0.23,0.075,0,DJI Drone X,Parrot,5,Drones
165,63.78,9.9,31.0,0.6,25.51,381.03,65.5,315.53,6,3.55,12.3689,1,Autel Drone Lite,Parrot,5,Drones
166,181.0,9.9,23.9,0.4,108.6,407.75,62.67,345.08,3,1.91,3.1775,1,DJI Drone SE,DJI,5,Drones
167,551.93,9.9,14.2,0.3,386.35,266.07,49.91,216.16,3,1.38,0.5595,0,DJI Drone Pro,Parrot,5,Drones
168,1499.45,9.9,14.9,0.3,1049.62,1864.33,315.23,1549.1,4,3.65,1.4759,1,Autel Drone Lite,Parrot,5,Drones
169,1466.49,9.9,19.3,0.4,879.89,1504.45,321.04,1183.41,5,3.12,1.345,1,DJI Drone Plus,Parrot,5,Drones
170,360.93,9.9,22.7,0.4,216.56,147.14,33.45,113.69,1,1.48,0.525,0,Parrot Drone Lite,Parrot,5,Drones
171,209.17,9.9,27.7,0.5,104.58,710.29,131.87,578.42,6,4.6,5.5309,1,Autel Drone,DJI,5,Drones
172,235.44,9.9,12.0,0.3,164.81,38.18,6.88,31.3,1,0.46,0.1899,0,Parrot Drone X,DJI,5,Drones
173,1091.89,9.9,17.1,0.3,764.32,983.61,210.52,773.09,6,2.83,1.0115,1,DJI Drone Plus,Parrot,5,Drones
174,1437.2,9.9,11.7,0.3,1006.04,304.79,50.5,254.29,1,0.46,0.2528,0,Autel Drone Max,Parrot,5,Drones
175,521.06,9.9,35.0,0.6,208.42,825.44,152.35,673.09,5,4.4,3.2295,1,DJI Drone,DJI,5,Drones
176,1078.6,9.9,23.9,0.4,647.16,508.2,95.54,412.66,4,2.14,0.6376,0,Parrot Drone Max,Parrot,5,Drones
177,926.34,9.9,14.7,0.3,648.44,668.98,126.05,542.93,3,2.2,0.8373,0,Autel Drone SE,Parrot,5,Drones
178,1016.81,9.9,40.0,0.65,355.88,1223.56,222.12,1001.44,5,3.65,2.814,1,Autel Drone,Autel,5,Drones
179,1193.38,9.9,27.3,0.5,596.69,1238.04,270.38,967.66,4,3.38,1.6217,1,Autel Drone Pro,DJI,5,Drones
180,67.11,9.9,8.7,0.3,46.98,0.0,0.0,0.0,0,0.0,0.0,0,DJI Drone,DJI,5,Drones
181,516.68,9.9,25.8,0.5,258.34,790.55,148.08,642.47,6,4.6,2.4869,1,Parrot Drone,DJI,5,Drones
182,111.76,9.9,14.3,0.3,78.23,369.51,73.58,295.93,3,1.91,3.7828,1,Parrot Drone Ultra,Autel,5,Drones
183,996.26,9.9,21.6,0.4,597.76,560.59,121.81,438.78,3,1.91,0.734,0,DJI Drone,Parrot,5,Drones
184,132.88,9.9,14.4,0.3,93.02,479.12,101.99,377.13,3,1.91,4.0543,1,Autel Drone SE,Autel,5,Drones
185,585.79,9.9,26.5,0.5,292.89,819.81,170.21,649.6,5,3.91,2.2179,1,Autel Drone Pro,Autel,5,Drones
186,128.03,9.9,19.6,0.4,76.82,778.75,144.26,634.49,4,3.91,8.2594,1,Autel Drone Plus,Autel,5,Drones
187,273.69,9.9,30.7,0.6,109.48,339.43,65.74,273.69,2,1.97,2.4999,1,DJI Drone SE,Autel,5,Drones
188,593.64,9.9,25.4,0.5,296.82,258.54,54.89,203.65,4,1.38,0.6861,0,Autel Drone Ultra,Autel,5,Drones
189,63.95,9.9,12.3,0.3,44.77,218.54,39.03,179.51,2,1.45,4.0096,1,Parrot Drone Plus,Parrot,5,Drones
190,528.65,9.9,14.1,0.3,370.05,385.23,71.34,313.89,2,2.46,0.8482,0,Parrot Drone Plus,DJI,5,Drones
191,1686.43,9.9,28.6,0.5,843.22,2366.68,433.85,1932.83,7,5.35,2.2922,1,Sony Audio X,Sennheiser,6,Audio
192,250.51,9.9,23.2,0.4,150.31,539.51,98.32,441.19,6,4.11,2.9352,1,JBL Audio Max,Sony,6,Audio
193,1008.46,9.9,31.7,0.6,403.38,2015.33,392.94,1622.39,7,6.11,4.022,1,Sennheiser Audio SE,Sony,6,Audio
194,304.11,9.9,22.7,0.4,182.47,465.49,71.52,321.06,3,2.43,1.7595,1,Sennheiser Audio Max,Bose,6,Audio
195,365.1,9.9,42.9,0.65,127.78,641.63,112.81,528.82,4,2.66,4.1385,1,Bose Audio Ultra,JBL,6,Audio
196,585.12,9.9,10.3,0.3,409.58,87.55,14.27,73.28,1,0.46,0.1789,0,JBL Audio SE,Bose,6,Audio
