product_id,category_id,product_name,brand,original_retail_price,current_depreciated_value,condition_grade,listed_date,rental_eligible_date,retailer,is_active
25,1,OnePlus Smartphone X,Xiaomi,111.34,83.41,B,2023-09-18,2024-07-14,FNAC Portugal,1
26,1,OnePlus Smartphone X,Xiaomi,159.51,58.37,A,2022-05-05,2023-03-01,Amazon ES,1
27,1,Samsung Smartphone Max,Apple,389.67,261.42,C,2023-03-05,2023-12-30,FNAC Portugal,1
28,1,OnePlus Smartphone Lite,Samsung,573.37,419.17,A,2023-08-13,2024-06-08,Amazon ES,1
29,1,Apple Smartphone,Samsung,430.19,294.41,A,2023-07-19,2024-05-14,FNAC Portugal,1
30,1,Apple Smartphone Plus,Samsung,350.9,160.17,A,2022-08-28,2023-06-24,Amazon ES,1
31,1,Samsung Smartphone X,Apple,247.27,214.67,B,2024-05-13,2025-03-09,Amazon ES,1
32,1,OnePlus Smartphone Pro,Xiaomi,251.08,207.94,B,2024-04-11,2025-02-05,Amazon ES,1
33,1,OnePlus Smartphone SE,Xiaomi,1206.3,630.69,A,2022-11-23,2023-09-19,FNAC Portugal,1
34,1,Xiaomi Smartphone X,Apple,63.76,55.25,A,2024-05-21,2025-03-17,FNAC Portugal,1
35,1,Apple Smartphone Max,Xiaomi,376.61,126.64,A,2022-02-22,2022-12-19,FNAC Portugal,1
36,1,Apple Smartphone Pro,Samsung,556.76,223.86,B,2022-08-01,2023-05-28,Amazon ES,1
37,1,Xiaomi Smartphone Max,Xiaomi,197.9,163.95,A,2024-04-11,2025-02-05,FNAC Portugal,1
38,1,OnePlus Smartphone Max,Apple,1520.63,1085.28,A,2023-09-06,2024-07-02,FNAC Portugal,1
39,1,Xiaomi Smartphone SE,Apple,180.29,141.14,A,2024-01-08,2024-11-03,Amazon ES,1
40,1,Xiaomi Smartphone,Xiaomi,61.32,51.7,A,2024-05-06,2025-03-02,FNAC Portugal,1
41,1,Samsung Smartphone SE,OnePlus,556.11,278.34,A,2022-03-10,2023-01-04,FNAC Portugal,1
42,1,Apple Smartphone Max,Xiaomi,212.93,135.7,B,2023-04-09,2024-02-03,Amazon ES,1
43,1,Apple Smartphone Plus,OnePlus,1101.89,866.37,C,2024-01-09,2024-11-04,FNAC Portugal,1
44,1,Xiaomi Smartphone Pro,Apple,357.2,53.66,A,2021-01-14,2021-11-10,Amazon ES,1
45,1,Samsung Smartphone Pro,Samsung,599.89,532.61,A,2024-06-20,2025-04-16,FNAC Portugal,1
46,2,Dell Laptop Plus,HP,81.08,34.61,B,2022-01-09,2022-11-05,Amazon ES,1
47,2,Dell Laptop Ultra,HP,424.38,181.02,C,2022-01-11,2022-11-07,Amazon ES,1
48,2,Apple Laptop Max,Apple,443.24,142.31,B,2021-09-23,2022-07-20,FNAC Portugal,1
49,2,Dell Laptop Max,Asus,143.31,124.41,A,2024-03-30,2025-01-24,FNAC Portugal,1
50,2,Lenovo Laptop,Lenovo,336.63,257.61,A,2023-05-27,2024-03-22,Amazon ES,1
51,2,Asus Laptop Max,Apple,121.09,45.12,B,2021-03-03,2021-12-28,FNAC Portugal,1
52,2,HP Laptop Lite,Asus,251.5,102.02,A,2021-06-25,2022-04-21,Amazon ES,1
53,2,Dell Laptop X,Dell,438.91,367.5,A,2024-02-12,2024-12-08,FNAC Portugal,1
54,2,HP Laptop Ultra,Apple,558.08,256.06,B,2022-06-13,2023-04-09,FNAC Portugal,1
55,2,Apple Laptop X,Dell,536.28,341.79,A,2022-05-06,2023-03-02,FNAC Portugal,1
56,2,Dell Laptop,Dell,138.03,75.33,A,2022-05-13,2023-03-09,FNAC Portugal,1
57,2,Apple Laptop Max,HP,99.55,70.05,B,2023-06-28,2024-04-23,Amazon ES,1
58,2,Lenovo Laptop Pro,Lenovo,130.26,114.79,A,2024-05-08,2025-03-04,FNAC Portugal,1
59,2,Dell Laptop X,Dell,141.59,104.78,C,2023-07-14,2024-05-09,FNAC Portugal,1
60,2,HP Laptop Max,Apple,1417.8,1045.32,C,2023-06-22,2024-04-17,Amazon ES,1
61,2,Asus Laptop Max,Lenovo,111.28,88.38,A,2023-12-05,2024-09-30,FNAC Portugal,1
62,2,HP Laptop X,Apple,466.08,394.77,B,2024-03-12,2025-01-06,FNAC Portugal,1
63,2,Lenovo Laptop Lite,Asus,559.83,501.46,A,2024-04-22,2025-02-16,Amazon ES,1
64,2,Lenovo Laptop Max,Dell,1502.88,1218.87,B,2024-01-26,2024-11-21,Amazon ES,1
65,2,Lenovo Laptop SE,Asus,732.76,406.41,B,2022-05-26,2023-03-22,Amazon ES,1
66,2,Dell Laptop Max,HP,417.09,253.36,A,2022-11-28,2023-09-24,Amazon ES,1
67,2,Dell Laptop Pro,Lenovo,621.73,536.78,A,2024-04-12,2025-02-06,FNAC Portugal,1
68,2,Dell Laptop Max,Lenovo,1608.53,788.23,A,2022-03-28,2023-01-22,Amazon ES,1
69,2,Apple Laptop Plus,HP,407.54,168.87,C,2021-05-03,2022-02-27,FNAC Portugal,1
70,2,Apple Laptop Lite,Lenovo,122.13,106.35,A,2024-02-14,2024-12-10,Amazon ES,1
71,2,Asus Laptop,Apple,104.36,73.13,A,2023-03-06,2023-12-31,FNAC Portugal,1
72,2,Asus Laptop Max,HP,370.72,280.62,A,2023-08-17,2024-06-12,Amazon ES,1
73,2,HP Laptop,Dell,409.76,269.18,A,2023-02-26,2023-12-23,Amazon ES,1
74,2,HP Laptop,HP,787.38,515.34,B,2023-01-10,2023-11-06,Amazon ES,1
75,2,HP Laptop,Lenovo,427.78,335.46,C,2023-10-21,2024-08-16,FNAC Portugal,1
76,2,Asus Laptop Ultra,Lenovo,329.6,260.7,B,2023-11-06,2024-09-01,Amazon ES,1
77,2,Apple Laptop Plus,Asus,1003.04,666.65,A,2023-01-13,2023-11-09,Amazon ES,1
78,2,Apple Laptop Plus,HP,256.05,224.99,B,2024-05-24,2025-03-20,Amazon ES,1
79,2,Asus Laptop Ultra,Dell,361.02,235.59,B,2023-02-18,2023-12-15,Amazon ES,1
80,2,Asus Laptop Ultra,Apple,226.87,144.09,A,2023-02-08,2023-12-05,Amazon ES,1
81,2,Dell Laptop SE,HP,453.24,391.01,A,2024-03-14,2025-01-08,FNAC Portugal,1
82,2,HP Laptop Max,Dell,227.3,196.7,A,2024-05-10,2025-03-06,Amazon ES,1
83,2,Dell Laptop X,Apple,393.5,234.22,A,2022-11-04,2023-08-31,Amazon ES,1
84,2,Lenovo Laptop Ultra,Dell,124.32,112.35,A,2024-05-24,2025-03-20,FNAC Portugal,1
85,2,Asus Laptop Max,Apple,584.84,354.46,C,2023-02-01,2023-11-28,Amazon ES,1
86,2,Dell Laptop X,Dell,153.98,124.06,A,2023-12-31,2024-10-26,FNAC Portugal,1
87,2,HP Laptop Plus,Apple,277.04,245.71,B,2024-05-14,2025-03-10,FNAC Portugal,1
88,2,Apple Laptop SE,Asus,392.42,287.92,B,2023-05-28,2024-03-23,Amazon ES,1
89,2,HP Laptop Lite,Lenovo,370.73,298.46,A,2023-12-28,2024-10-23,FNAC Portugal,1
90,2,Lenovo Laptop X,Apple,55.64,36.88,A,2023-02-03,2023-11-30,FNAC Portugal,1
91,2,Apple Laptop Pro,Lenovo,103.19,29.48,A,2021-01-07,2021-11-03,Amazon ES,1
92,2,Asus Laptop Plus,Apple,1101.1,944.54,B,2024-03-25,2025-01-19,FNAC Portugal,1
93,2,Dell Laptop Ultra,Asus,876.68,432.16,A,2022-01-18,2022-11-14,Amazon ES,1
94,2,Apple Laptop,HP,182.57,142.17,B,2023-10-04,2024-07-30,FNAC Portugal,1
95,2,Apple Laptop Ultra,Apple,414.79,197.48,C,2021-11-17,2022-09-13,FNAC Portugal,1
96,3,Lenovo Tablet X,Huawei,99.36,54.02,A,2022-01-02,2022-10-29,FNAC Portugal,1
97,3,Huawei Tablet,Samsung,691.36,497.81,B,2023-06-25,2024-04-20,Amazon ES,1
98,3,Apple Tablet Ultra,Apple,160.09,84.2,B,2022-02-28,2022-12-25,Amazon ES,1
99,3,Lenovo Tablet X,Samsung,790.33,668.21,C,2024-01-06,2024-11-01,FNAC Portugal,1
100,3,Apple Tablet Pro,Huawei,133.43,53.56,A,2021-04-30,2022-02-24,Amazon ES,1
101,3,Samsung Tablet X,Apple,728.38,589.08,B,2023-12-18,2024-10-13,FNAC Portugal,1
102,3,Samsung Tablet Plus,Huawei,799.65,639.3,A,2023-06-22,2024-04-17,Amazon ES,1
103,3,Samsung Tablet Lite,Samsung,196.02,158.93,A,2024-01-05,2024-10-31,FNAC Portugal,1
104,3,Huawei Tablet Plus,Lenovo,240.88,208.31,B,2024-02-24,2024-12-20,Amazon ES,1
105,3,Apple Tablet X,Lenovo,580.35,517.89,A,2024-03-16,2025-01-10,FNAC Portugal,1
106,3,Huawei Tablet,Lenovo,840.43,606.88,C,2023-07-25,2024-05-20,FNAC Portugal,1
107,3,Samsung Tablet Lite,Apple,1525.11,1352.5,A,2024-04-23,2025-02-17,Amazon ES,1
108,3,Apple Tablet X,Samsung,141.1,83.33,B,2022-08-26,2023-06-22,FNAC Portugal,1
109,3,Apple Tablet SE,Samsung,204.65,152.94,C,2023-08-08,2024-06-03,Amazon ES,1
110,3,Huawei Tablet SE,Apple,258.37,132.83,B,2021-06-26,2022-04-22,FNAC Portugal,1
111,3,Lenovo Tablet Plus,Samsung,407.08,183.54,B,2021-01-29,2021-11-25,Amazon ES,1
112,3,Apple Tablet Lite,Lenovo,56.18,50.05,B,2024-04-17,2025-02-11,Amazon ES,1
113,3,Samsung Tablet Max,Samsung,485.63,409.84,A,2024-01-15,2024-11-10,FNAC Portugal,1
114,3,Lenovo Tablet Plus,Lenovo,375.44,273.07,C,2023-06-24,2024-04-19,FNAC Portugal,1
115,3,Samsung Tablet Ultra,Lenovo,515.88,409.54,A,2023-09-20,2024-07-16,FNAC Portugal,1
116,3,Apple Tablet SE,Huawei,809.03,657.13,A,2023-11-05,2024-08-31,Amazon ES,1
117,3,Lenovo Tablet Plus,Samsung,546.81,441.31,A,2023-06-27,2024-04-22,FNAC Portugal,1
118,3,Samsung Tablet SE,Samsung,882.95,699.33,C,2023-08-08,2024-06-03,FNAC Portugal,1
119,3,Samsung Tablet Pro,Lenovo,896.68,652.6,A,2023-07-07,2024-05-02,FNAC Portugal,1
120,3,Lenovo Tablet Ultra,Samsung,203.61,158.63,A,2023-03-28,2024-01-22,FNAC Portugal,1
121,3,Huawei Tablet SE,Apple,334.8,220.5,B,2022-08-14,2023-06-10,FNAC Portugal,1
122,3,Lenovo Tablet X,Huawei,512.72,449.52,A,2024-04-11,2025-02-05,FNAC Portugal,1
123,3,Samsung Tablet SE,Samsung,129.68,107.29,A,2023-12-07,2024-10-02,FNAC Portugal,1
124,3,Lenovo Tablet Plus,Lenovo,987.76,780.51,B,2023-04-03,2024-01-28,FNAC Portugal,1
125,3,Huawei Tablet Max,Apple,54.5,45.21,C,2023-12-21,2024-10-16,FNAC Portugal,1
126,3,Lenovo Tablet,Apple,149.24,101.64,A,2022-10-31,2023-08-27,Amazon ES,1
127,3,Samsung Tablet,Samsung,470.61,365.06,A,2023-08-26,2024-06-21,Amazon ES,1
128,3,Samsung Tablet Max,Huawei,199.0,131.21,B,2022-08-26,2023-06-22,Amazon ES,1
129,3,Apple Tablet Ultra,Huawei,1122.7,751.77,B,2022-07-18,2023-05-14,Amazon ES,1
130,3,Samsung Tablet Max,Apple,377.77,264.49,A,2022-08-23,2023-06-19,Amazon ES,1
131,3,Lenovo Tablet Ultra,Huawei,391.67,278.39,B,2023-05-26,2024-03-21,Amazon ES,1
132,4,Fitbit Wearable Pro,Samsung,408.49,310.2,C,2024-01-13,2024-11-08,FNAC Portugal,1
133,4,Fitbit Wearable,Samsung,340.65,137.51,A,2022-04-14,2023-02-08,Amazon ES,1
134,4,Fitbit Wearable X,Fitbit,590.69,353.21,B,2022-11-10,2023-09-06,FNAC Portugal,1
135,4,Fitbit Wearable X,Fitbit,302.63,257.97,B,2024-04-09,2025-02-03,FNAC Portugal,1
136,4,Samsung Wearable,Apple,139.03,109.87,A,2023-11-27,2024-09-22,Amazon ES,1
137,4,Fitbit Wearable Pro,Fitbit,529.05,92.17,C,2021-08-16,2022-06-12,FNAC Portugal,1
138,4,Apple Wearable Max,Apple,130.3,76.31,B,2022-08-21,2023-06-17,FNAC Portugal,1
139,4,Fitbit Wearable X,Garmin,254.58,185.43,A,2023-09-19,2024-07-15,Amazon ES,1
140,4,Samsung Wearable Plus,Samsung,360.48,229.79,B,2023-06-11,2024-04-06,FNAC Portugal,1
141,4,Garmin Wearable Lite,Garmin,552.03,236.94,A,2022-05-02,2023-02-26,Amazon ES,1
142,4,Garmin Wearable Pro,Fitbit,1361.95,518.55,B,2022-05-30,2023-03-26,FNAC Portugal,1
143,4,Apple Wearable SE,Garmin,149.74,87.64,A,2023-02-25,2023-12-22,Amazon ES,1
144,4,Fitbit Wearable Plus,Apple,179.7,38.1,A,2021-02-12,2021-12-09,FNAC Portugal,1
145,4,Fitbit Wearable Lite,Garmin,421.52,293.62,B,2023-08-08,2024-06-03,FNAC Portugal,1
146,4,Garmin Wearable Max,Fitbit,358.87,253.14,B,2023-07-14,2024-05-09,FNAC Portugal,1
147,4,Apple Wearable X,Garmin,361.19,199.05,A,2022-12-23,2023-10-19,Amazon ES,1
148,4,Apple Wearable X,Garmin,559.3,489.96,A,2024-05-29,2025-03-25,FNAC Portugal,1
149,4,Samsung Wearable Lite,Garmin,1259.44,956.63,A,2023-04-24,2024-02-18,FNAC Portugal,1
150,4,Garmin Wearable Ultra,Garmin,345.92,147.3,A,2022-03-19,2023-01-13,Amazon ES,1
151,4,Samsung Wearable SE,Fitbit,197.55,87.37,A,2022-02-06,2022-12-03,FNAC Portugal,1
152,4,Fitbit Wearable Max,Samsung,1386.87,1046.03,A,2023-10-17,2024-08-12,FNAC Portugal,1
153,4,Fitbit Wearable X,Garmin,1480.34,460.13,B,2021-06-01,2022-03-28,FNAC Portugal,1
154,4,Samsung Wearable SE,Apple,329.4,136.21,A,2022-01-24,2022-11-20,FNAC Portugal,1
155,4,Apple Wearable X,Samsung,537.74,254.84,C,2022-04-29,2023-02-23,FNAC Portugal,1
156,4,Samsung Wearable X,Apple,253.26,217.67,B,2024-05-26,2025-03-22,FNAC Portugal,1
157,4,Samsung Wearable X,Fitbit,384.59,335.28,A,2024-04-25,2025-02-19,Amazon ES,1
158,4,Fitbit Wearable,Apple,645.63,488.07,C,2023-10-20,2024-08-15,Amazon ES,1
159,4,Samsung Wearable Plus,Garmin,1019.64,605.3,A,2023-03-09,2024-01-03,FNAC Portugal,1
160,4,Samsung Wearable Max,Samsung,873.41,500.47,B,2023-01-04,2023-10-31,Amazon ES,1
161,4,Fitbit Wearable,Samsung,1762.19,945.86,B,2022-12-24,2023-10-20,FNAC Portugal,1
162,4,Garmin Wearable Pro,Garmin,56.56,37.18,C,2023-07-20,2024-05-15,FNAC Portugal,1
163,4,Apple Wearable Max,Apple,278.99,159.04,C,2022-10-25,2023-08-21,Amazon ES,1
164,5,DJI Drone X,Parrot,272.24,237.8,A,2024-02-18,2024-12-14,Amazon ES,1
165,5,Autel Drone Lite,Parrot,63.78,38.01,B,2022-05-31,2023-03-27,Amazon ES,1
166,5,DJI Drone SE,DJI,181.0,124.38,C,2023-01-04,2023-10-31,FNAC Portugal,1
167,5,DJI Drone Pro,Parrot,551.93,440.04,B,2023-10-25,2024-08-20,Amazon ES,1
168,5,Autel Drone Lite,Parrot,1499.45,1203.08,C,2023-10-04,2024-07-30,Amazon ES,1
169,5,DJI Drone Plus,Parrot,1466.49,1056.32,A,2023-05-23,2024-03-18,FNAC Portugal,1
170,5,Parrot Drone Lite,Parrot,360.93,275.41,A,2023-02-08,2023-12-05,Amazon ES,1
171,5,Autel Drone,DJI,209.17,136.28,A,2022-09-11,2023-07-08,FNAC Portugal,1
172,5,Parrot Drone X,DJI,235.44,204.72,A,2023-12-31,2024-10-26,Amazon ES,1
173,5,DJI Drone Plus,Parrot,1091.89,912.42,A,2023-07-28,2024-05-23,Amazon ES,1
174,5,Autel Drone Max,Parrot,1437.2,1231.76,C,2024-01-11,2024-11-06,Amazon ES,1
175,5,DJI Drone,DJI,521.06,308.85,A,2022-01-30,2022-11-26,FNAC Portugal,1
176,5,Parrot Drone Max,Parrot,1078.6,702.2,A,2023-01-05,2023-11-01,FNAC Portugal,1
177,5,Autel Drone SE,Parrot,926.34,768.0,C,2023-10-11,2024-08-06,FNAC Portugal,1
178,5,Autel Drone,Autel,1016.81,592.49,A,2021-08-31,2022-06-27,Amazon ES,1
179,5,Autel Drone Pro,DJI,1193.38,843.28,B,2022-09-22,2023-07-19,FNAC Portugal,1
180,5,DJI Drone,DJI,67.11,61.35,A,2024-04-11,2025-02-05,FNAC Portugal,1
181,5,Parrot Drone,DJI,516.68,385.29,B,2022-11-06,2023-09-02,FNAC Portugal,1
182,5,Parrot Drone Ultra,Autel,111.76,93.65,B,2023-10-22,2024-08-17,FNAC Portugal,1
183,5,DJI Drone,Parrot,996.26,758.49,B,2023-03-16,2024-01-10,Amazon ES,1
184,5,Autel Drone SE,Autel,132.88,108.87,B,2023-10-19,2024-08-14,FNAC Portugal,1
185,5,Autel Drone Pro,Autel,585.79,356.23,A,2022-10-17,2023-08-13,Amazon ES,1
186,5,Autel Drone Plus,Autel,128.03,94.13,C,2023-05-13,2024-03-08,FNAC Portugal,1
187,5,DJI Drone SE,Autel,273.69,185.85,B,2022-06-10,2023-04-06,Amazon ES,1
188,5,Autel Drone Ultra,Autel,593.64,412.27,A,2022-11-18,2023-09-14,Amazon ES,1
189,5,Parrot Drone Plus,Parrot,63.95,56.41,B,2023-12-22,2024-10-17,FNAC Portugal,1
190,5,Parrot Drone Plus,DJI,528.65,454.38,A,2023-10-30,2024-08-25,FNAC Portugal,1
191,6,Sony Audio X,Sennheiser,1686.43,1127.54,A,2022-08-13,2023-06-09,Amazon ES,1
192,6,JBL Audio Max,Sony,250.51,217.83,B,2023-01-26,2023-11-22,Amazon ES,1
193,6,Sennheiser Audio SE,Sony,1008.46,664.45,B,2022-05-12,2023-03-08,Amazon ES,1
194,6,Sennheiser Audio Max,Bose,304.11,252.55,A,2023-02-10,2023-12-07,FNAC Portugal,1
195,6,Bose Audio Ultra,JBL,365.1,224.21,B,2021-06-03,2022-03-30,Amazon ES,1
196,6,JBL Audio SE,Bose,585.12,541.66,A,2024-02-20,2024-12-16,FNAC Portugal,1
197,6,JBL Audio SE,Sennheiser,305.33,230.11,C,2022-10-28,2023-08-24,Amazon ES,1
198,6,Bose Audio SE,JBL,138.98,98.96,A,2022-10-18,2023-08-14,Amazon ES,1
199,6,JBL Audio Pro,Bose,136.0,120.59,C,2023-09-27,2024-07-23,Amazon ES,1
200,6,Bose Audio SE,Sony,372.17,345.82,A,2024-04-18,2025-02-12,Amazon ES,1
201,6,JBL Audio Lite,Sony,515.52,398.43,B,2022-03-27,2023-01-21,Amazon ES,1
202,6,Sennheiser Audio Plus,Sony,301.76,206.96,A,2021-02-21,2021-12-18,FNAC Portugal,1
203,6,Sony Audio Plus,JBL,387.9,327.77,B,2023-07-16,2024-05-11,Amazon ES,1
204,6,Sennheiser Audio X,JBL,317.4,203.8,C,2021-08-14,2022-06-10,Amazon ES,1
205,6,Sennheiser Audio,Sony,470.17,414.07,B,2024-01-30,2024-11-25,Amazon ES,1
206,6,JBL Audio Max,Sony,1746.07,1241.97,B,2021-08-21,2022-06-17,FNAC Portugal,1
207,6,Sony Audio Pro,Sennheiser,1398.35,1070.87,A,2023-02-03,2023-11-30,FNAC Portugal,1
208,6,Bose Audio Ultra,Bose,467.43,333.38,A,2023-01-04,2023-10-31,FNAC Portugal,1
209,6,Sennheiser Audio Ultra,JBL,455.15,429.36,A,2024-06-28,2025-04-24,Amazon ES,1
210,6,Sennheiser Audio X,Bose,249.2,209.44,C,2023-08-27,2024-06-22,FNAC Portugal,1
211,6,Sony Audio Lite,JBL,417.01,260.09,A,2022-05-21,2023-03-17,Amazon ES,1
212,6,Sony Audio Lite,Sennheiser,440.43,381.87,A,2023-03-02,2023-12-27,Amazon ES,1
213,6,Sony Audio Max,Sennheiser,335.91,203.83,B,2021-05-21,2022-03-17,FNAC Portugal,1
214,6,Sennheiser Audio,JBL,595.21,405.8,B,2022-06-27,2023-04-23,FNAC Portugal,1
215,6,Bose Audio X,Bose,283.55,236.08,A,2023-04-25,2024-02-19,Amazon ES,1
216,6,JBL Audio Max,Sennheiser,1323.53,1236.79,A,2024-02-22,2024-12-18,Amazon ES,1
217,6,Bose Audio,Sony,592.04,443.15,A,2022-04-01,2023-01-26,FNAC Portugal,1
218,6,Sennheiser Audio X,JBL,308.1,218.26,A,2022-07-31,2023-05-27,Amazon ES,1
219,6,Sennheiser Audio SE,Sony,512.96,360.75,A,2022-10-17,2023-08-13,FNAC Portugal,1
220,6,Sony Audio Max,JBL,1691.35,1510.96,B,2023-11-14,2024-09-09,FNAC Portugal,1
221,6,Bose Audio Lite,JBL,641.35,591.3,A,2024-04-02,2025-01-27,FNAC Portugal,1
222,6,JBL Audio X,Bose,504.72,437.8,A,2023-07-30,2024-05-25,FNAC Portugal,1
223,6,JBL Audio Max,JBL,436.56,402.79,A,2024-01-11,2024-11-06,FNAC Portugal,1
224,6,Bose Audio Plus,Bose,570.55,509.15,B,2023-09-21,2024-07-17,Amazon ES,1
225,6,Sony Audio Pro,JBL,333.36,316.79,A,2024-06-28,2025-04-24,Amazon ES,1
226,6,Sony Audio Plus,Bose,1519.34,1249.51,A,2023-02-02,2023-11-29,Amazon ES,1
227,6,Sony Audio Lite,Bose,322.45,277.11,B,2023-09-12,2024-07-08,Amazon ES,1
228,6,Sennheiser Audio Lite,Bose,57.53,39.4,A,2022-04-13,2023-02-07,FNAC Portugal,1
229,7,Sony Gaming Max,Nintendo,433.3,289.47,C,2022-01-13,2022-11-09,FNAC Portugal,1
230,7,Razer Gaming Max,Razer,117.4,98.33,A,2023-03-30,2024-01-24,FNAC Portugal,1
231,7,Sony Gaming Lite,Sony,1700.15,1384.43,A,2023-02-27,2023-12-24,FNAC Portugal,1
232,7,Sony Gaming SE,Sony,57.03,49.12,A,2024-01-01,2024-10-27,Amazon ES,1
233,7,Microsoft Gaming,Razer,1277.98,1113.48,C,2023-11-28,2024-09-23,FNAC Portugal,1
234,7,Nintendo Gaming X,Sony,397.53,292.07,C,2023-01-02,2023-10-29,FNAC Portugal,1
235,7,Nintendo Gaming SE,Razer,1411.33,983.77,A,2022-06-23,2023-04-19,FNAC Portugal,1
236,7,Sony Gaming SE,Nintendo,81.33,74.83,B,2024-03-16,2025-01-10,FNAC Portugal,1
237,7,Razer Gaming Plus,Nintendo,1377.26,1196.48,A,2024-01-07,2024-11-02,Amazon ES,1
238,7,Sony Gaming Pro,Microsoft,839.06,581.23,B,2022-05-15,2023-03-11,FNAC Portugal,1
239,7,Razer Gaming Max,Razer,890.27,830.83,A,2024-05-08,2025-03-04,FNAC Portugal,1
240,7,Razer Gaming SE,Microsoft,407.61,371.29,C,2024-05-19,2025-03-15,Amazon ES,1
241,7,Nintendo Gaming SE,Sony,61.46,46.6,A,2023-05-02,2024-02-26,FNAC Portugal,1
242,7,Sony Gaming Lite,Sony,1769.03,1200.5,A,2021-11-24,2022-09-20,FNAC Portugal,1
243,7,Razer Gaming Plus,Razer,1452.16,1178.1,C,2023-06-22,2024-04-17,Amazon ES,1
244,7,Razer Gaming Lite,Microsoft,198.7,159.49,C,2023-03-24,2024-01-18,Amazon ES,1
245,7,Nintendo Gaming SE,Microsoft,310.49,269.77,A,2024-01-30,2024-11-25,FNAC Portugal,1
246,7,Nintendo Gaming,Microsoft,183.52,102.91,A,2021-08-19,2022-06-15,FNAC Portugal,1
247,7,Microsoft Gaming X,Nintendo,1738.89,1504.26,A,2023-12-05,2024-09-30,FNAC Portugal,1
248,7,Nintendo Gaming Lite,Razer,659.97,599.21,B,2024-05-23,2025-03-19,FNAC Portugal,1
249,7,Nintendo Gaming Lite,Microsoft,1088.01,823.2,B,2023-03-21,2024-01-15,Amazon ES,1
250,7,Microsoft Gaming Plus,Nintendo,1689.48,1540.98,A,2024-04-04,2025-01-29,Amazon ES,1
251,7,Razer Gaming Pro,Sony,324.0,301.63,A,2024-06-22,2025-04-18,FNAC Portugal,1
252,7,Razer Gaming,Nintendo,188.93,136.71,A,2022-11-06,2023-09-02,FNAC Portugal,1
253,7,Sony Gaming X,Nintendo,600.53,455.79,A,2022-12-28,2023-10-24,FNAC Portugal,1
254,7,Razer Gaming X,Razer,567.37,476.27,B,2023-10-15,2024-08-10,FNAC Portugal,1
255,7,Sony Gaming Pro,Microsoft,1652.83,1109.78,C,2021-11-03,2022-08-30,FNAC Portugal,1
256,7,Nintendo Gaming X,Razer,432.65,360.04,A,2023-10-04,2024-07-30,Amazon ES,1
257,7,Razer Gaming Ultra,Razer,1515.73,1397.23,C,2024-04-08,2025-02-02,FNAC Portugal,1
