rental_id,product_id,customer_id,pricing_rule_id,rental_start_date,rental_end_date,expected_return_date,actual_return_date,rental_duration_days,base_rental_revenue,late_fee,insurance_fee,total_rental_revenue,operational_cost,net_rental_revenue,is_no_return,is_damaged_beyond_repair,is_late
55,28,1967,10,2022-10-12,2022-10-26,2022-10-26,2022-10-26,14,32.81,0.0,0.85,33.66,6.27,27.39,0,0,0
56,28,821,4,2022-11-02,2022-11-09,2022-11-15,2022-11-15,7,36.17,30.9,1.05,68.12,5.64,62.48,0,0,1
57,30,932,4,2024-08-20,2024-09-03,2024-09-03,2024-09-03,14,65.1,0.0,1.89,66.99,11.39,55.6,0,0,0
58,30,910,2,2024-09-28,2024-10-12,2024-10-12,2024-10-12,14,61.6,0.0,2.53,64.13,14.17,49.96,0,0,0
59,30,1179,2,2024-10-20,2024-11-10,2024-11-10,2024-11-10,21,92.4,0.0,3.79,96.19,23.1,73.09,0,0,0
60,30,281,5,2024-11-19,2024-12-10,2024-12-10,2024-12-10,21,199.28,0.0,6.78,206.06,32.28,173.78,0,0,0
61,32,1154,5,2023-04-05,2023-04-19,2023-04-19,2023-04-19,14,119.14,0.0,4.05,123.19,23.71,99.48,0,0,0
62,32,1599,6,2023-05-03,2023-05-24,2023-05-24,2023-05-24,21,211.47,0.0,4.44,215.91,42.08,173.83,0,0,0
63,32,1475,2,2023-06-22,2023-07-13,2023-07-13,2023-07-13,21,92.4,0.0,3.79,96.19,21.34,74.85,0,0,0
64,32,83,2,2023-07-25,2023-08-01,2023-08-01,2023-08-01,7,30.8,0.0,1.26,32.06,5.14,26.92,0,0,0
65,34,184,5,2023-03-19,2023-04-02,2023-04-02,2023-04-02,14,119.14,0.0,4.05,123.19,27.88,95.31,0,0,0
66,34,258,9,2023-04-13,2023-04-27,2023-04-27,2023-04-27,14,108.91,0.0,3.05,111.96,18.08,93.88,0,0,0
67,34,1218,12,2023-05-23,2023-05-30,2023-05-30,2023-05-30,7,42.08,0.0,1.26,43.34,8.25,35.09,0,0,0
68,35,877,6,2024-07-15,2024-07-29,2024-07-29,2024-07-29,14,140.98,0.0,2.96,143.94,23.26,120.68,0,0,0
69,35,948,3,2024-08-12,2024-08-19,2024-08-23,2024-08-23,7,22.33,27.96,0.56,50.85,5.36,45.49,0,0,1
70,35,1490,3,2024-08-30,2024-09-13,2024-09-18,2024-09-18,14,44.66,34.95,1.12,80.73,9.42,71.31,0,0,1
71,35,224,11,2024-09-23,2024-09-30,2024-09-30,2024-09-30,7,30.15,0.0,1.15,31.3,6.63,24.67,0,0,0
72,35,715,9,2024-10-07,2024-10-14,2024-10-14,2024-10-14,7,26.11,0.0,0.73,26.84,5.74,21.1,0,0,0
73,36,825,12,2024-07-31,2024-08-07,2024-08-07,2024-08-07,7,12.27,0.0,0.37,12.64,3.02,9.62,0,0,0
74,36,375,4,2024-08-17,2024-08-31,2024-08-31,2024-08-31,14,65.1,0.0,1.89,66.99,11.98,55.01,0,0,0
75,36,262,5,2024-09-07,2024-09-21,2024-09-21,2024-09-21,14,119.14,0.0,4.05,123.19,22.16,101.03,0,0,0
76,36,113,1,2024-10-26,2024-11-25,2024-11-25,2024-11-25,30,191.1,0.0,4.78,195.88,43.95,151.93,0,0,0
77,37,1184,6,2021-09-16,2021-10-16,2021-10-18,2021-10-18,30,302.1,10.18,6.34,318.62,59.21,259.41,0,0,1
78,37,740,1,2021-10-26,2021-11-16,2021-11-16,2021-11-16,21,133.77,0.0,3.34,137.11,23.81,113.3,0,0,0
79,37,1775,8,2021-11-29,2021-12-06,2021-12-06,2021-12-06,7,18.47,0.0,0.61,19.08,4.53,14.55,0,0,0
80,37,1369,1,2021-12-15,2021-12-29,2021-12-29,2021-12-29,14,98.01,0.0,2.45,100.46,15.09,85.37,0,0,0
81,39,1020,5,2022-09-29,2022-10-20,2022-10-20,2022-10-20,21,178.71,0.0,6.08,184.79,38.07,146.72,0,0,0
82,39,1031,6,2022-10-25,2022-11-01,2022-11-01,2022-11-01,7,70.49,0.0,1.48,71.97,13.11,58.86,0,0,0
83,39,1945,4,2022-11-11,2022-11-25,2022-11-25,2022-11-25,14,74.47,0.0,2.16,76.63,13.11,63.52,0,0,0
84,39,1261,4,2022-12-03,2022-12-10,2022-12-10,2022-12-10,7,34.67,0.0,1.01,35.68,5.24,30.44,0,0,0
85,39,1265,2,2022-12-22,2022-12-29,2022-12-29,2022-12-29,7,34.66,0.0,1.42,36.08,7.59,28.49,0,0,0
86,42,3,12,2024-10-26,2024-11-16,2024-11-16,2024-11-16,21,201.56,0.0,6.05,207.61,41.92,165.69,0,0,0
87,42,220,9,2024-11-29,2024-12-13,2024-12-13,2024-12-13,14,189.35,0.0,5.3,194.65,38.63,156.02,0,0,0
88,42,1996,9,2024-12-19,2025-01-02,2025-01-02,2025-01-02,14,191.58,0.0,5.36,196.94,47.9,149.04,0,0,0
89,43,862,4,2024-12-08,2024-12-15,2024-12-15,2024-12-15,7,35.26,0.0,1.02,36.28,8.29,27.99,0,0,0
90,44,264,4,2024-10-27,2024-11-03,2024-11-03,2024-11-03,7,32.55,0.0,0.94,33.49,5.66,27.83,0,0,0
91,44,493,10,2024-11-12,2024-11-19,2024-11-19,2024-11-19,7,31.56,0.0,0.82,32.38,7.61,24.77,0,0,0
92,44,414,8,2024-11-24,2024-12-08,2024-12-08,2024-12-08,14,61.86,0.0,2.04,63.9,10.27,53.63,0,0,0
93,45,676,10,2022-09-19,2022-09-26,2022-09-26,2022-09-26,7,15.53,0.0,0.4,15.93,3.31,12.62,0,0,0
94,45,1551,5,2022-10-02,2022-10-09,2022-10-13,2022-10-13,7,59.57,15.0,2.03,76.6,9.89,66.71,0,0,1
95,46,821,10,2022-03-03,2022-03-17,2022-03-17,2022-03-17,14,139.86,0.0,3.64,143.5,30.07,113.43,0,0,0
96,46,1573,10,2022-03-30,2022-04-20,2022-04-20,2022-04-20,21,209.79,0.0,5.45,215.24,52.24,163.0,0,0,0
97,46,1247,10,2022-05-02,2022-05-09,2022-05-09,2022-05-09,7,69.93,0.0,1.82,71.75,12.17,59.58,0,0,0
98,46,1669,2,2022-05-15,2022-06-14,2022-06-14,2022-06-14,30,132.0,0.0,5.41,137.41,23.76,113.65,0,0,0
99,47,280,8,2023-01-22,2023-02-12,2023-02-12,2023-02-12,21,152.43,0.0,5.03,157.46,30.49,126.97,0,0,0
100,47,103,9,2023-03-26,2023-04-09,2023-04-09,2023-04-09,14,114.06,0.0,3.19,117.25,20.64,96.61,0,0,0
101,48,945,10,2022-11-20,2022-11-27,2022-11-27,2022-11-27,7,68.26,0.0,1.77,70.03,10.99,59.04,0,0,0
102,48,716,9,2022-12-07,2022-12-21,2022-12-21,2022-12-21,14,146.87,0.0,4.11,150.98,28.35,122.63,0,0,0
103,48,562,6,2023-01-01,2023-01-15,2023-01-15,2023-01-15,14,140.98,0.0,2.96,143.94,31.86,112.08,0,0,0
104,48,974,12,2023-02-09,2023-03-11,2023-03-11,2023-03-11,30,226.47,0.0,6.79,233.26,47.56,185.7,0,0,0
105,48,434,12,2023-03-17,2023-03-24,2023-03-24,2023-03-24,7,52.84,0.0,1.59,54.43,8.67,45.76,0,0,0
106,48,62,8,2023-04-24,2023-05-01,2023-05-01,2023-05-01,7,60.93,0.0,2.01,62.94,12.06,50.88,0,0,0
107,49,38,11,2021-07-20,2021-08-03,2021-08-03,2021-08-03,14,39.81,0.0,1.51,41.32,6.09,35.23,0,0,0
108,49,333,10,2021-08-11,2021-08-18,2021-08-18,2021-08-18,7,15.52,0.0,0.4,15.92,3.37,12.55,0,0,0
109,49,827,9,2021-08-29,2021-09-19,2021-09-21,2021-09-21,21,51.72,4.42,1.45,57.59,9.15,48.44,0,0,1
110,49,914,6,2021-10-25,2021-11-01,2021-11-01,,7,70.49,0.0,1.48,71.97,13.82,58.15,1,0,0
111,49,1164,3,2021-11-13,2021-11-27,2021-11-27,2021-11-27,14,46.95,0.0,1.17,48.12,8.54,39.58,0,0,0
112,51,1102,1,2024-12-28,2025-01-18,2025-01-18,2025-01-18,21,148.14,0.0,3.7,151.84,36.74,115.1,0,0,0
113,52,1129,1,2024-08-23,2024-09-06,2024-09-09,2024-09-09,14,89.18,19.17,2.23,110.58,18.01,92.57,0,0,1
114,52,1777,7,2024-09-16,2024-10-16,2024-10-16,2024-10-16,30,130.09,0.0,6.37,136.46,26.28,110.18,0,0,0
115,52,1158,5,2024-10-25,2024-11-08,2024-11-08,2024-11-08,14,119.14,0.0,4.05,123.19,24.19,99.0,0,0,0
116,52,450,3,2024-11-13,2024-11-20,2024-11-20,2024-11-20,7,24.96,0.0,0.62,25.58,5.22,20.36,0,0,0
117,52,512,6,2024-11-29,2024-12-13,2024-12-17,2024-12-17,14,156.0,20.36,3.28,179.64,34.32,145.32,0,0,1
118,53,1315,9,2024-09-22,2024-10-06,2024-10-06,2024-10-06,14,239.64,0.0,6.71,246.35,37.86,208.49,0,0,0
119,53,131,7,2024-10-17,2024-10-31,2024-10-31,2024-10-31,14,196.07,0.0,9.61,205.68,38.63,167.05,0,0,0
120,53,387,8,2024-11-10,2024-12-01,2024-12-01,2024-12-01,21,360.16,0.0,11.89,372.05,63.03,309.02,0,0,0
121,53,1854,6,2024-12-07,2024-12-21,2024-12-21,,14,158.88,0.0,3.34,162.22,29.87,132.35,1,1,0
122,58,846,10,2024-11-09,2024-11-30,2024-11-30,2024-11-30,21,355.98,0.0,9.26,365.24,56.96,308.28,0,0,0
123,58,375,8,2024-12-09,2024-12-23,2024-12-23,2024-12-23,14,232.64,0.0,7.68,240.32,37.92,202.4,0,0,0
124,61,1718,8,2023-01-30,2023-02-20,2023-02-20,2023-02-20,21,325.67,0.0,10.75,336.42,69.69,266.73,0,0,0
125,61,1812,8,2023-03-01,2023-03-08,2023-03-08,2023-03-08,7,108.56,0.0,3.58,112.14,25.08,87.06,0,0,0
126,61,798,8,2023-04-14,2023-04-21,2023-04-21,2023-04-21,7,108.56,0.0,3.58,112.14,26.27,85.87,0,0,0
127,62,71,9,2024-07-17,2024-07-31,2024-07-31,2024-07-31,14,93.2,0.0,2.61,95.81,18.83,76.98,0,0,0
128,62,1651,7,2024-08-11,2024-08-25,2024-08-25,2024-08-25,14,76.25,0.0,3.74,79.99,18.99,61.0,0,0,0
129,62,1332,11,2024-09-24,2024-10-15,2024-10-15,2024-10-15,21,161.4,0.0,6.13,167.53,37.44,130.09,0,0,0
130,62,1045,9,2024-10-23,2024-10-30,2024-10-30,2024-10-30,7,46.6,0.0,1.3,47.9,8.06,39.84,0,0,0
131,62,544,10,2024-11-13,2024-11-20,2024-11-20,2024-11-20,7,47.68,0.0,1.24,48.92,11.63,37.29,0,0,0
132,63,1200,5,2024-10-16,2024-11-06,2024-11-06,2024-11-06,21,178.71,0.0,6.08,184.79,34.49,150.3,0,0,0
133,63,592,11,2024-11-19,2024-12-10,2024-12-10,2024-12-10,21,347.49,0.0,13.2,360.69,54.56,306.13,0,0,0
134,63,1827,12,2024-12-19,2025-01-02,2025-01-07,2025-01-07,14,150.23,15.9,4.51,170.64,28.99,141.65,0,0,1
135,64,863,7,2024-07-25,2024-08-24,2024-08-24,2024-08-24,30,181.95,0.0,8.92,190.87,34.21,156.66,0,0,0
136,64,1011,5,2024-09-02,2024-09-16,2024-09-16,2024-09-16,14,119.14,0.0,4.05,123.19,21.45,101.74,0,0,0
137,64,534,8,2024-10-22,2024-11-05,2024-11-05,2024-11-05,14,92.46,0.0,3.05,95.51,21.64,73.87,0,0,0
138,66,122,8,2024-07-14,2024-07-28,2024-07-28,2024-07-28,14,111.94,0.0,3.69,115.63,24.63,91.0,0,0,0
139,66,1936,11,2024-08-02,2024-08-09,2024-08-13,2024-08-13,7,72.53,30.56,2.76,105.85,13.71,92.14,0,0,1
140,66,436,8,2024-08-19,2024-09-02,2024-09-02,2024-09-02,14,111.94,0.0,3.69,115.63,19.03,96.6,0,0,0
141,66,1321,8,2024-09-08,2024-09-22,2024-09-22,2024-09-22,14,111.94,0.0,3.69,115.63,22.84,92.79,0,0,0
142,66,1739,11,2024-09-29,2024-10-06,2024-10-13,2024-10-13,7,72.53,53.48,2.76,128.77,12.04,116.73,0,0,1
143,67,1912,8,2022-07-13,2022-08-03,2022-08-03,2022-08-03,21,197.73,0.0,6.53,204.26,43.7,160.56,0,0,0
144,67,139,11,2022-08-30,2022-09-20,2022-09-20,2022-09-20,21,256.24,0.0,9.74,265.98,63.55,202.43,0,0,0
145,67,992,10,2022-09-27,2022-10-11,2022-10-11,2022-10-11,14,133.17,0.0,3.46,136.63,26.5,110.13,0,0,0
146,67,604,2,2022-10-25,2022-11-24,2022-11-24,2022-11-24,30,132.0,0.0,5.41,137.41,32.6,104.81,0,0,0
147,67,90,10,2022-12-02,2022-12-09,2022-12-09,2022-12-09,7,72.77,0.0,1.89,74.66,11.5,63.16,0,0,0
148,67,532,11,2022-12-17,2023-01-07,2023-01-07,2023-01-07,21,274.79,0.0,10.44,285.23,42.87,242.36,0,0,0
149,68,727,11,2024-12-25,2025-01-01,2025-01-01,2025-01-01,7,138.89,0.0,5.28,144.17,30.42,113.75,0,0,0
150,69,1542,11,2023-10-15,2023-11-05,2023-11-11,2023-11-11,21,353.56,45.84,13.44,412.84,65.76,347.08,0,0,1
151,69,620,7,2023-11-19,2023-12-03,2023-12-03,2023-12-03,14,180.54,0.0,8.85,189.39,37.73,151.66,0,0,0
152,69,1884,2,2023-12-10,2023-12-24,2023-12-27,2023-12-27,14,65.1,21.6,2.67,89.37,10.61,78.76,0,0,1
153,69,207,10,2024-01-02,2024-01-16,2024-01-16,2024-01-16,14,183.74,0.0,4.78,188.52,31.79,156.73,0,0,0
154,69,511,12,2024-01-30,2024-02-06,2024-02-06,2024-02-06,7,78.88,0.0,2.37,81.25,12.94,68.31,0,0,0
155,71,6,11,2024-09-13,2024-10-04,2024-10-04,2024-10-04,21,204.6,0.0,7.77,212.37,38.26,174.11,0,0,0
156,71,1509,12,2024-10-09,2024-10-23,2024-10-23,2024-10-23,14,91.29,0.0,2.74,94.03,16.98,77.05,0,0,0
157,71,833,12,2024-11-01,2024-11-08,2024-11-08,2024-11-08,7,50.57,0.0,1.52,52.09,12.29,39.8,0,0,0
158,72,950,9,2024-07-03,2024-07-17,2024-07-17,2024-07-17,14,166.66,0.0,4.67,171.33,25.83,145.5,0,0,0
159,72,1247,10,2024-08-25,2024-09-01,2024-09-01,2024-09-01,7,75.0,0.0,1.95,76.95,13.72,63.23,0,0,0
160,72,1012,8,2024-09-14,2024-10-05,2024-10-05,2024-10-05,21,222.72,0.0,7.35,230.07,42.98,187.09,0,0,0
161,72,1805,7,2024-10-17,2024-11-07,2024-11-07,,21,204.54,0.0,10.02,214.56,35.18,179.38,1,0,0
162,74,1556,6,2022-10-06,2022-10-27,2022-10-27,2022-10-27,21,211.47,0.0,4.44,215.91,36.16,179.75,0,0,0
163,74,1110,7,2022-11-10,2022-11-17,2022-11-17,2022-11-17,7,55.32,0.0,2.71,58.03,11.67,46.36,0,0,0
164,75,1382,11,2022-02-02,2022-02-23,2022-02-23,2022-02-23,21,335.7,0.0,12.76,348.46,68.15,280.31,0,0,0
165,75,1996,11,2022-03-09,2022-03-16,2022-03-23,2022-03-23,7,111.9,53.48,4.25,169.63,21.6,148.03,0,0,1
166,75,1135,8,2022-03-29,2022-04-12,2022-04-19,2022-04-19,14,172.69,18.13,5.7,196.52,35.23,161.29,0,0,1
167,76,1322,9,2023-05-18,2023-06-17,2023-06-17,,30,390.97,0.0,10.95,401.92,93.83,308.09,1,1,0
168,76,887,9,2023-06-22,2023-07-22,2023-07-22,2023-07-22,30,390.97,0.0,10.95,401.92,86.8,315.12,0,0,0
169,76,747,10,2023-09-12,2023-10-03,2023-10-03,2023-10-03,21,246.31,0.0,6.4,252.71,36.95,215.76,0,0,0
170,76,913,7,2023-10-17,2023-10-24,2023-10-24,2023-10-24,7,74.64,0.0,3.66,78.3,17.02,61.28,0,0,0
171,77,966,8,2023-09-11,2023-09-25,2023-09-25,2023-09-25,14,93.73,0.0,3.09,96.82,21.37,75.45,0,0,0
172,77,1057,1,2023-10-02,2023-10-16,2023-10-16,2023-10-16,14,89.18,0.0,2.23,91.41,18.64,72.77,0,0,0
173,77,1900,8,2023-11-22,2023-12-06,2023-12-06,2023-12-06,14,105.22,0.0,3.47,108.69,24.31,84.38,0,0,0
174,79,18,8,2024-07-06,2024-07-27,2024-08-03,2024-08-03,21,353.35,18.13,11.66,383.14,57.24,325.9,0,0,1
175,79,1441,7,2024-08-15,2024-08-22,2024-08-23,2024-08-23,7,108.17,2.39,5.3,115.86,22.07,93.79,0,0,1
176,79,123,10,2024-09-03,2024-10-03,2024-10-03,2024-10-03,30,509.93,0.0,13.26,523.19,110.65,412.54,0,0,0
177,79,1365,7,2024-10-11,2024-10-18,2024-10-18,2024-10-18,7,108.17,0.0,5.3,113.47,22.17,91.3,0,0,0
178,79,585,7,2024-10-25,2024-11-08,2024-11-08,2024-11-08,14,216.34,0.0,10.6,226.94,46.3,180.64,0,0,0
179,79,606,11,2024-11-16,2024-12-07,2024-12-07,,21,499.25,0.0,18.97,518.22,96.85,421.37,1,1,0
180,79,539,7,2024-12-20,2025-01-03,2025-01-09,2025-01-09,14,237.47,14.34,11.64,263.45,42.74,220.71,0,0,1
181,80,347,10,2024-12-12,2024-12-26,2025-01-01,2025-01-01,14,327.45,30.72,8.51,366.68,62.54,304.14,0,0,1
182,82,671,4,2024-07-16,2024-07-23,2024-07-23,2024-07-23,7,32.55,0.0,0.94,33.49,7.16,26.33,0,0,0
183,82,500,12,2024-08-22,2024-09-12,2024-09-13,2024-09-13,21,286.92,3.18,8.61,298.71,44.47,254.24,0,0,1
184,82,845,6,2024-09-23,2024-10-23,2024-10-23,2024-10-23,30,302.1,0.0,6.34,308.44,68.58,239.86,0,0,0
185,82,1455,8,2024-11-04,2024-11-18,2024-11-18,2024-11-18,14,250.09,0.0,8.25,258.34,55.27,203.07,0,0,0
186,83,777,9,2024-02-14,2024-03-06,2024-03-06,2024-03-06,21,230.02,0.0,6.44,236.46,49.68,186.78,0,0,0
187,83,1194,12,2024-04-07,2024-04-14,2024-04-14,2024-04-14,7,59.25,0.0,1.78,61.03,13.15,47.88,0,0,0
188,83,1277,4,2024-04-20,2024-05-04,2024-05-04,2024-05-04,14,65.1,0.0,1.89,66.99,13.8,53.19,0,0,0
189,83,1923,11,2024-05-09,2024-05-23,2024-05-23,2024-05-23,14,177.04,0.0,6.73,183.77,32.93,150.84,0,0,0
190,83,85,7,2024-06-04,2024-06-25,2024-06-30,2024-06-30,21,188.19,11.95,9.22,209.36,45.92,163.44,0,0,1
191,84,1151,11,2024-10-16,2024-10-23,2024-10-23,2024-10-23,7,67.88,0.0,2.58,70.46,12.63,57.83,0,0,0
192,84,1929,9,2024-11-06,2024-11-13,2024-11-13,2024-11-13,7,66.49,0.0,1.86,68.35,14.56,53.79,0,0,0
193,84,918,7,2024-11-25,2024-12-02,2024-12-02,2024-12-02,7,55.27,0.0,2.71,57.98,10.11,47.87,0,0,0
194,85,1305,1,2023-04-20,2023-05-11,2023-05-11,2023-05-11,21,133.77,0.0,3.34,137.11,20.33,116.78,0,0,0
195,85,911,11,2023-05-23,2023-06-13,2023-06-13,2023-06-13,21,492.06,0.0,18.7,510.76,93.98,416.78,0,0,0
196,85,1164,7,2023-06-22,2023-07-13,2023-07-13,2023-07-13,21,348.7,0.0,17.09,365.79,76.71,289.08,0,0,0
197,85,730,7,2023-07-27,2023-08-03,2023-08-03,2023-08-03,7,116.24,0.0,5.7,121.94,27.32,94.62,0,0,0
198,85,1386,9,2023-08-16,2023-09-06,2023-09-06,2023-09-06,21,426.19,0.0,11.93,438.12,102.29,335.83,0,0,0
199,86,146,10,2024-07-07,2024-07-21,2024-07-22,2024-07-22,14,142.55,5.12,3.71,151.38,27.51,123.87,0,0,1
200,86,985,1,2024-09-29,2024-10-13,2024-10-13,2024-10-13,14,89.18,0.0,2.23,91.41,17.03,74.38,0,0,0
201,86,1423,8,2024-10-22,2024-11-05,2024-11-05,2024-11-05,14,141.11,0.0,4.66,145.77,26.11,119.66,0,0,0
